slot,group,id,title,label,tags,position,related_ailment,related_ability,level,class,reroll_chance,extra_info,tier_1,tier_2,tier_3,tier_4,tier_5,tier_6,tier_7,tier_8
One-Handed Axe,Damage Type,722,Lightning Penetration And Minion Lightning Penetration,"Lightning Penetration (Added)
Minion Lightning Penetration (Added)","Penetration,Lightning,Minion",Suffix,,,60,,85.0,,"2%
2%","2%
2%","3%
3%","4% To 5%
4% To 5%","5% To 7%
5% To 7%","9% To 10%
9% To 10%","11% To 13%
11% To 13%","20% To 25%
20% To 25%"
One-Handed Axe,Damage Type,724,Necrotic Penetration And Minion Necrotic Penetration,"Necrotic Penetration (Added)
Minion Necrotic Penetration (Added)","Penetration,Necrotic,Minion",Suffix,,,60,,85.0,,"2%
2%","2%
2%","3%
3%","4% To 5%
4% To 5%","5% To 7%
5% To 7%","9% To 10%
9% To 10%","11% To 13%
11% To 13%","20% To 25%
20% To 25%"
One-Handed Axe,Damage Type,719,Physical Penetration And Minion Physical Penetration,"Physical Penetration (Added)
Minion Physical Penetration (Added)","Penetration,Physical,Minion",Suffix,,,60,,85.0,,"2%
2%","2%
2%","3%
3%","4% To 5%
4% To 5%","5% To 7%
5% To 7%","9% To 10%
9% To 10%","11% To 13%
11% To 13%","20% To 25%
20% To 25%"
One-Handed Axe,Damage Type,725,Poison Penetration And Minion Poison Penetration,"Poison Penetration (Added)
Minion Poison Penetration (Added)","Penetration,Damaging Ailment,Poison,Damage Over Time,Minion",Suffix,,,60,,88.0,,"2%
2%","2%
2%","3%
3%","4% To 5%
4% To 5%","5% To 7%
5% To 7%","9% To 10%
9% To 10%","11% To 13%
11% To 13%","20% To 25%
20% To 25%"
One-Handed Axe,Damage Type,723,Void Penetration And Minion Void Penetration,"Void Penetration (Added)
Minion Void Penetration (Added)","Penetration,Void,Minion",Suffix,,,60,,85.0,,"2%
2%","2%
2%","3%
3%","4% To 5%
4% To 5%","5% To 7%
5% To 7%","9% To 10%
9% To 10%","11% To 13%
11% To 13%","20% To 25%
20% To 25%"
One-Handed Axe,Health Recovery,20,Health On Kill,Health Gain On Kill (Added),"Health,Recovery",Suffix,,,1,,0.0,,2,3 To 4,5 To 6,7 To 8,9 To 12,18 To 26,27 To 36,60 To 75
One-Handed Axe,Health Recovery,44,Health On Melee Hit,Health Gain On Melee Hit (Added),"Health,Melee",Suffix,,,1,,0.0,,1 To 2,2 To 3,4 To 5,6 To 7,7 To 9,12 To 17,17 To 23,37 To 46
One-Handed Axe,Mana,718,Mana And Mana Regen,"Mana (Added)
Mana Regen (Increased)","Mana,Regeneration",Prefix,,,36,,50.0,,"6 To 10
3% To 5%","10 To 14
5% To 7%","15 To 19
7% To 9%","20 To 26
10% To 11%","26 To 34
12% To 14%","43 To 51
17% To 20%","52 To 69
21% To 24%","110 To 137
38% To 48%"
One-Handed Axe,Parry,717,Parry Chance,Parry Chance (Added),Parry,Prefix,,,24,,50.0,,1%,1%,2%,2%,3%,5%,6% To 7%,9% To 11%
One-Handed Axe,Leech,69,Melee Damage Leeched As Health,Melee Damage Leeched As Health (Added),"Health,Melee",Prefix,,,10,,0.0,,2.3% To 2.9%,3% To 3.6%,3.7% To 4.3%,4.4% To 5%,5.1% To 6.3%,7.5% To 9.5%,9.6% To 12.5%,20% To 25%
One-Handed Axe,Minion,98,Damage Over Time For Minions,Minion Damage Over Time (Increased),"Damage Over Time,Minion",Suffix,,,48,,50.0,,10% To 20%,21% To 30%,31% To 40%,41% To 50%,51% To 70%,90% To 110%,111% To 140%,224% To 280%
One-Handed Axe,Minion,64,Minion Melee And Bow Damage,"Minion Melee Damage (Added)
Minion Bow Damage (Added)","Melee,Ranged,Minion",Suffix,,,20,,70.0,,"2
2","3
3","4 To 5
4 To 5","6 To 7
6 To 7","7 To 10
7 To 10","12 To 14
12 To 14","15 To 18
15 To 18","26 To 32
26 To 32"
One-Handed Axe,Minion,643,Minion Melee And Spell Damage,"Minion Melee Damage (Added)
Minion Spell Damage (Added)","Melee,Spell,Minion",Suffix,,,18,,55.0,,"2
2","3
3","4 To 5
4 To 5","6 To 7
6 To 7","7 To 10
7 To 10","12 To 14
12 To 14","15 To 18
15 To 18","26 To 32
26 To 32"
One-Handed Axe,Minion,102,Minion Spell And Bow Damage,"Minion Spell Damage (Added)
Minion Bow Damage (Added)","Ranged,Spell,Minion",Suffix,,,22,,70.0,,"2
2","3
3","4 To 5
4 To 5","6 To 7
6 To 7","7 To 10
7 To 10","12 To 14
12 To 14","15 To 18
15 To 18","26 To 32
26 To 32"
One-Handed Axe,Ailments,428,Chance To Apply Frailty On Melee Hit,Chance To Apply Frailty On Melee Hit (Added),Melee,Suffix,Frailty,,25,,0.0,,20% To 23%,23% To 29%,29% To 34%,35% To 40%,41% To 49%,60% To 74%,75% To 97%,154% To 171%
One-Handed Axe,Ailments,60,Chance To Blind On Hit,Chance To Blind On Hit (Added),"Blind,Negative Ailment",Suffix,Blind,,5,,80.0,,10% To 12%,13% To 16%,17% To 20%,20% To 23%,24% To 30%,40% To 49%,50% To 65%,100%
One-Handed Axe,Ailments,56,Chance To Chill On Hit,Chance To Chill On Hit (Added),"Slow,Negative Ailment,Cold",Suffix,Chill,,1,,50.0,,10% To 12%,13% To 16%,17% To 20%,20% To 23%,24% To 30%,40% To 49%,50% To 65%,104% To 130%
One-Handed Axe,Ailments,55,Chance To Ignite On Hit,Chance To Ignite On Hit (Added),"Damaging Ailment,Fire,Damage Over Time",Suffix,Ignite,,1,,50.0,,10% To 12%,13% To 16%,17% To 20%,20% To 23%,24% To 30%,40% To 49%,50% To 65%,104% To 130%
One-Handed Axe,Ailments,68,Chance To Inflict Bleed On Hit,Chance To Inflict Bleed On Hit (Added),"Damaging Ailment,Physical,Damage Over Time",Suffix,Bleed,,1,,30.0,,10% To 12%,13% To 16%,17% To 20%,20% To 23%,24% To 30%,40% To 49%,50% To 65%,104% To 130%
One-Handed Axe,Ailments,54,Chance To Poison On Hit,Chance To Poison On Hit (Added),"Damaging Ailment,Poison,Damage Over Time",Suffix,Poison,,13,,50.0,,10% To 12%,13% To 16%,17% To 20%,20% To 23%,24% To 30%,40% To 49%,50% To 65%,104% To 130%
One-Handed Axe,Ailments,85,Chance To Shock On Hit,Chance To Shock On Hit (Added),"Resistance Reduction,Lightning",Suffix,Shock,,20,,50.0,,10% To 12%,13% To 16%,17% To 20%,20% To 23%,24% To 30%,40% To 49%,50% To 65%,104% To 130%
One-Handed Axe,Ailments,86,Chance To Shred Armor On Hit,Chance To Shred Armor On Hit (Added),"Armour,Defence Reduction",Suffix,Shred Armor,,27,,50.0,,20% To 30%,31% To 40%,41% To 55%,56% To 70%,71% To 100%,125% To 150%,151% To 200%,320% To 400%
One-Handed Axe,Ailments,57,Chance To Slow On Hit,Chance To Slow On Hit (Added),"Slow,Negative Ailment",Suffix,Slow,,1,,75.0,,10% To 12%,13% To 16%,17% To 20%,20% To 23%,24% To 30%,40% To 49%,50% To 65%,104% To 130%
One-Handed Axe,Personal,776,Meteor Champion'S,"Fire Damage Over Time (Increased)
Bleed Chance Converted To Ignite Chance (Added)","Damaging Ailment,Fire,Physical,Damage Over Time",Prefix,"Bleed,Ignite",,1,,0.0,Exclusive To Items Dropped By Champions,"15% To 29%
100%","30% To 50%
100%","51% To 74%
100%","75% To 105%
100%","106% To 150%
100%","200% To 260%
100%","261% To 350%
100%","560% To 700%
100%"
One-Handed Axe,Set,810,Ruby Fang Cleaver Reforged,"Melee Attack Speed (Increased)
Chance To Apply Poison On Melee Hit (Added)","Damaging Ailment,Poison,Melee,Attack Speed,Damage Over Time",Suffix,Poison,,1,,,An Item With This Affix Counts As A Substitute For Ruby Fang Cleaver For The Purpose Of Getting The Set Bonus,"1%
5% To 90%","2%
10% To 15%","3%
16% To 21%","4%
22% To 27%","5%
28% To 35%","6% To 7%
45% To 59%","8% To 10%
60% To 75%","15% To 18%
120% To 150%"
One-Handed Mace,Melee,2,Melee Attack Speed,Melee Attack Speed (Increased),"Melee,Attack Speed",Prefix,,,1,,0.0,,4% To 5%,6% To 7%,8% To 9%,10% To 11%,12% To 15%,18% To 23%,24% To 30%,46% To 53%
One-Handed Mace,Melee,78,Melee Cold Damage,Melee Cold Damage (Added),"Cold,Melee",Prefix,,,1,,25.0,,2 To 3,4 To 6,6 To 9,9 To 11,12 To 15,23 To 29,29 To 37,49 To 57
One-Handed Mace,Melee,62,Melee Critical Strike Chance,Melee Critical Strike Chance (Added),"Critical,Melee",Prefix,,,1,,20.0,,1%,1%,2%,2%,3%,4% To 5%,5% To 6%,8% To 10%
One-Handed Mace,Melee,89,Melee Damage,Melee Damage (Increased),Melee,Prefix,,,1,,0.0,,6% To 11%,11% To 17%,18% To 25%,26% To 33%,34% To 49%,57% To 79%,80% To 103%,165% To 206%
One-Handed Mace,Melee,77,Melee Fire Damage,Melee Fire Damage (Added),"Fire,Melee",Prefix,,,1,,25.0,,2 To 3,4 To 6,6 To 9,9 To 11,12 To 15,23 To 29,29 To 37,49 To 57
One-Handed Mace,Melee,79,Melee Lightning Damage,Melee Lightning Damage (Added),"Lightning,Melee",Prefix,,,1,,25.0,,2 To 3,4 To 6,6 To 9,9 To 11,12 To 15,23 To 29,29 To 37,49 To 57
One-Handed Mace,Melee,63,Melee Physical Damage,Melee Physical Damage (Added),"Physical,Melee",Prefix,,,1,,0.0,,2 To 3,4 To 6,6 To 9,9 To 11,12 To 15,23 To 29,29 To 37,49 To 57
One-Handed Mace,Melee,76,Melee Void Damage,Melee Void Damage (Added),"Void,Melee",Prefix,,,1,,0.0,,2 To 3,4 To 6,6 To 9,9 To 11,12 To 15,23 To 29,29 To 37,49 To 57
One-Handed Mace,Melee,91,Increased Stun Chance With Melee Attacks,Increased Melee Stun Chance (Added),"Stun,Negative Ailment,Melee",Suffix,,,1,,0.0,,23% To 31%,32% To 43%,43% To 54%,55% To 66%,66% To 80%,103% To 126%,126% To 160%,256% To 320%
One-Handed Mace,General,5,Critical Strike Chance,Critical Strike Chance (Increased),Critical,Prefix,,,1,,20.0,,15% To 20%,21% To 25%,26% To 30%,31% To 35%,36% To 50%,60% To 75%,76% To 100%,160% To 200%
One-Handed Mace,General,6,Critical Strike Multiplier,Critical Strike Multiplier (Added),Critical,Prefix,,,20,,40.0,,7% To 9%,10% To 12%,13% To 16%,17% To 20%,21% To 25%,32% To 40%,41% To 50%,80% To 100%
One-Handed Mace,General,72,Damage Over Time,Damage Over Time (Increased),Damage Over Time,Prefix,,,1,,0.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
One-Handed Mace,General,58,Increased Stun Chance,Increased Stun Chance (Added),"Stun,Negative Ailment",Suffix,,,1,,0.0,,15% To 25%,26% To 35%,36% To 45%,46% To 60%,61% To 80%,100% To 130%,131% To 170%,272% To 340%
One-Handed Mace,Damage Type,16,Cold Damage,Cold Damage (Increased),Cold,Prefix,,,1,,50.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
One-Handed Mace,Damage Type,12,Fire Damage,Fire Damage (Increased),Fire,Prefix,,,1,,50.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
One-Handed Mace,Damage Type,23,Lightning Damage,Lightning Damage (Increased),Lightning,Prefix,,,1,,50.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
One-Handed Mace,Damage Type,18,Necrotic Damage,Necrotic Damage (Increased),Necrotic,Prefix,,,6,"Acolyte,Non-Specific",0.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
One-Handed Mace,Damage Type,30,Physical Damage,Physical Damage (Increased),Physical,Prefix,,,1,,0.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
One-Handed Mace,Damage Type,61,Poison Damage,Poison Damage (Increased),"Damaging Ailment,Poison,Damage Over Time",Prefix,,,11,,30.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
One-Handed Mace,Damage Type,15,Void Damage,Void Damage (Increased),Void,Prefix,,,15,"Sentinel,Non-Specific",40.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
One-Handed Mace,Damage Type,721,Cold Penetration And Minion Cold Penetration,"Cold Penetration (Added)
Minion Cold Penetration (Added)","Penetration,Cold,Minion",Suffix,,,60,,85.0,,"2%
2%","2%
2%","3%
3%","4% To 5%
4% To 5%","5% To 7%
5% To 7%","9% To 10%
9% To 10%","11% To 13%
11% To 13%","20% To 25%
20% To 25%"
One-Handed Mace,Damage Type,720,Fire Penetration And Minion Fire Penetration,"Fire Penetration (Added)
Minion Fire Penetration (Added)","Penetration,Fire,Minion",Suffix,,,60,,85.0,,"2%
2%","2%
2%","3%
3%","4% To 5%
4% To 5%","5% To 7%
5% To 7%","9% To 10%
9% To 10%","11% To 13%
11% To 13%","20% To 25%
20% To 25%"
One-Handed Mace,Damage Type,722,Lightning Penetration And Minion Lightning Penetration,"Lightning Penetration (Added)
Minion Lightning Penetration (Added)","Penetration,Lightning,Minion",Suffix,,,60,,85.0,,"2%
2%","2%
2%","3%
3%","4% To 5%
4% To 5%","5% To 7%
5% To 7%","9% To 10%
9% To 10%","11% To 13%
11% To 13%","20% To 25%
20% To 25%"
One-Handed Mace,Damage Type,719,Physical Penetration And Minion Physical Penetration,"Physical Penetration (Added)
Minion Physical Penetration (Added)","Penetration,Physical,Minion",Suffix,,,60,,85.0,,"2%
2%","2%
2%","3%
3%","4% To 5%
4% To 5%","5% To 7%
5% To 7%","9% To 10%
9% To 10%","11% To 13%
11% To 13%","20% To 25%
20% To 25%"
One-Handed Mace,Damage Type,723,Void Penetration And Minion Void Penetration,"Void Penetration (Added)
Minion Void Penetration (Added)","Penetration,Void,Minion",Suffix,,,60,,85.0,,"2%
2%","2%
2%","3%
3%","4% To 5%
4% To 5%","5% To 7%
5% To 7%","9% To 10%
9% To 10%","11% To 13%
11% To 13%","20% To 25%
20% To 25%"
One-Handed Mace,Health Recovery,20,Health On Kill,Health Gain On Kill (Added),"Health,Recovery",Suffix,,,1,,0.0,,2,3 To 4,5 To 6,7 To 8,9 To 12,18 To 26,27 To 36,60 To 75
One-Handed Mace,Health Recovery,44,Health On Melee Hit,Health Gain On Melee Hit (Added),"Health,Melee",Suffix,,,1,,0.0,,1 To 2,2 To 3,4 To 5,6 To 7,7 To 9,12 To 17,17 To 23,37 To 46
One-Handed Mace,Parry,717,Parry Chance,Parry Chance (Added),Parry,Prefix,,,24,,50.0,,1%,1%,2%,2%,3%,5%,6% To 7%,9% To 11%
One-Handed Mace,Leech,69,Melee Damage Leeched As Health,Melee Damage Leeched As Health (Added),"Health,Melee",Prefix,,,10,,0.0,,2.3% To 2.9%,3% To 3.6%,3.7% To 4.3%,4.4% To 5%,5.1% To 6.3%,7.5% To 9.5%,9.6% To 12.5%,20% To 25%
One-Handed Mace,Ailments,428,Chance To Apply Frailty On Melee Hit,Chance To Apply Frailty On Melee Hit (Added),Melee,Suffix,Frailty,,25,,0.0,,20% To 23%,23% To 29%,29% To 34%,35% To 40%,41% To 49%,60% To 74%,75% To 97%,154% To 171%
One-Handed Mace,Ailments,60,Chance To Blind On Hit,Chance To Blind On Hit (Added),"Blind,Negative Ailment",Suffix,Blind,,5,,80.0,,10% To 12%,13% To 16%,17% To 20%,20% To 23%,24% To 30%,40% To 49%,50% To 65%,100%
One-Handed Mace,Ailments,56,Chance To Chill On Hit,Chance To Chill On Hit (Added),"Slow,Negative Ailment,Cold",Suffix,Chill,,1,,50.0,,10% To 12%,13% To 16%,17% To 20%,20% To 23%,24% To 30%,40% To 49%,50% To 65%,104% To 130%
One-Handed Mace,Ailments,55,Chance To Ignite On Hit,Chance To Ignite On Hit (Added),"Damaging Ailment,Fire,Damage Over Time",Suffix,Ignite,,1,,50.0,,10% To 12%,13% To 16%,17% To 20%,20% To 23%,24% To 30%,40% To 49%,50% To 65%,104% To 130%
One-Handed Mace,Ailments,54,Chance To Poison On Hit,Chance To Poison On Hit (Added),"Damaging Ailment,Poison,Damage Over Time",Suffix,Poison,,13,,50.0,,10% To 12%,13% To 16%,17% To 20%,20% To 23%,24% To 30%,40% To 49%,50% To 65%,104% To 130%
One-Handed Mace,Ailments,85,Chance To Shock On Hit,Chance To Shock On Hit (Added),"Resistance Reduction,Lightning",Suffix,Shock,,20,,50.0,,10% To 12%,13% To 16%,17% To 20%,20% To 23%,24% To 30%,40% To 49%,50% To 65%,104% To 130%
One-Handed Mace,Ailments,86,Chance To Shred Armor On Hit,Chance To Shred Armor On Hit (Added),"Armour,Defence Reduction",Suffix,Shred Armor,,27,,50.0,,20% To 30%,31% To 40%,41% To 55%,56% To 70%,71% To 100%,125% To 150%,151% To 200%,320% To 400%
One-Handed Mace,Ailments,57,Chance To Slow On Hit,Chance To Slow On Hit (Added),"Slow,Negative Ailment",Suffix,Slow,,1,,75.0,,10% To 12%,13% To 16%,17% To 20%,20% To 23%,24% To 30%,40% To 49%,50% To 65%,104% To 130%
One-Handed Mace,Personal,778,Storm Champion'S,"Chance To Apply Electrify On Hit (Added)
Chance To Cast Smite On Hit With Throwing Attacks (Up To 10 Times Per 2 Seconds) (Added)","Damaging Ailment,Lightning,Throwing,Damage Over Time",Prefix,Electrify,Smite,1,,0.0,Exclusive To Items Dropped By Champions,"9% To 11%
6% To 7%","11% To 14%
8% To 9%","14% To 17%
10% To 11%","17% To 20%
12% To 14%","21% To 26%
15% To 19%","34% To 43%
23% To 26%","43% To 57%
27% To 31%","91% To 114%
49% To 57%"
One-Handed Mace,Set,814,Sinathia'S Dying Breath Reforged,"Curse Damage (Added)
Curse Damage (Increased)",Curse,Prefix,,,1,,,An Item With This Affix Counts As A Substitute For Sinathia'S Dying Breath For The Purpose Of Getting The Set Bonus,"9 To 15
29% To 39%","16 To 23
40% To 51%","23 To 32
52% To 65%","33 To 42
66% To 80%","43 To 53
81% To 106%","75 To 89
141% To 169%","90 To 107
170% To 213%","171 To 214
341% To 426%"
One-Handed Sword,Melee,2,Melee Attack Speed,Melee Attack Speed (Increased),"Melee,Attack Speed",Prefix,,,1,,0.0,,4% To 5%,6% To 7%,8% To 9%,10% To 11%,12% To 15%,18% To 23%,24% To 30%,46% To 53%
One-Handed Sword,Melee,78,Melee Cold Damage,Melee Cold Damage (Added),"Cold,Melee",Prefix,,,1,,25.0,,2 To 3,4 To 6,6 To 9,9 To 11,12 To 15,23 To 29,29 To 37,49 To 57
One-Handed Sword,Melee,62,Melee Critical Strike Chance,Melee Critical Strike Chance (Added),"Critical,Melee",Prefix,,,1,,20.0,,1%,1%,2%,2%,3%,4% To 5%,5% To 6%,8% To 10%
One-Handed Sword,Melee,89,Melee Damage,Melee Damage (Increased),Melee,Prefix,,,1,,0.0,,6% To 11%,11% To 17%,18% To 25%,26% To 33%,34% To 49%,57% To 79%,80% To 103%,165% To 206%
One-Handed Sword,Melee,77,Melee Fire Damage,Melee Fire Damage (Added),"Fire,Melee",Prefix,,,1,,25.0,,2 To 3,4 To 6,6 To 9,9 To 11,12 To 15,23 To 29,29 To 37,49 To 57
One-Handed Sword,Melee,79,Melee Lightning Damage,Melee Lightning Damage (Added),"Lightning,Melee",Prefix,,,1,,25.0,,2 To 3,4 To 6,6 To 9,9 To 11,12 To 15,23 To 29,29 To 37,49 To 57
One-Handed Sword,Melee,63,Melee Physical Damage,Melee Physical Damage (Added),"Physical,Melee",Prefix,,,1,,0.0,,2 To 3,4 To 6,6 To 9,9 To 11,12 To 15,23 To 29,29 To 37,49 To 57
One-Handed Sword,Melee,76,Melee Void Damage,Melee Void Damage (Added),"Void,Melee",Prefix,,,1,,0.0,,2 To 3,4 To 6,6 To 9,9 To 11,12 To 15,23 To 29,29 To 37,49 To 57
One-Handed Sword,Melee,91,Increased Stun Chance With Melee Attacks,Increased Melee Stun Chance (Added),"Stun,Negative Ailment,Melee",Suffix,,,1,,0.0,,23% To 31%,32% To 43%,43% To 54%,55% To 66%,66% To 80%,103% To 126%,126% To 160%,256% To 320%
One-Handed Sword,Spell,49,Spell Damage,Spell Damage (Added),Spell,Prefix,,,15,,0.0,,3 To 5,6 To 8,9 To 11,12 To 14,15 To 24,32 To 40,41 To 50,70 To 80
One-Handed Sword,General,5,Critical Strike Chance,Critical Strike Chance (Increased),Critical,Prefix,,,1,,20.0,,15% To 20%,21% To 25%,26% To 30%,31% To 35%,36% To 50%,60% To 75%,76% To 100%,160% To 200%
One-Handed Sword,General,6,Critical Strike Multiplier,Critical Strike Multiplier (Added),Critical,Prefix,,,20,,40.0,,7% To 9%,10% To 12%,13% To 16%,17% To 20%,21% To 25%,32% To 40%,41% To 50%,80% To 100%
One-Handed Sword,General,72,Damage Over Time,Damage Over Time (Increased),Damage Over Time,Prefix,,,1,,0.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
One-Handed Sword,General,58,Increased Stun Chance,Increased Stun Chance (Added),"Stun,Negative Ailment",Suffix,,,1,,0.0,,15% To 25%,26% To 35%,36% To 45%,46% To 60%,61% To 80%,100% To 130%,131% To 170%,272% To 340%
One-Handed Sword,Damage Type,16,Cold Damage,Cold Damage (Increased),Cold,Prefix,,,1,,50.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
One-Handed Sword,Damage Type,12,Fire Damage,Fire Damage (Increased),Fire,Prefix,,,1,,50.0,,6% To 12%,13% To 21%,22% To 30%,31% To 39%,40% To 60%,75% To 95%,96% To 120%,192% To 240%
