Name,Type,Applies To
Chance to Shock on Hit,Prefix,"Stout Idol [1×2], Huge Idol [1×4]"
Chance to Shock on Hit with Lightning Skills,Prefix,"Helmet, Body Armor"
Chance To Shock With Lightning Skills,Prefix,Huge Idol [1×4]
Chance to Shred Armor on Bow Hit,Prefix,Large Idol [1×3]
Chance to Shred Armor on Bow Hit,Prefix,Helmet
Chance to Shred Armor on Melee Hit,Prefix,Large Idol [1×3]
Chance to Shred Armor on Melee Hit,Prefix,Body Armor
Chance to Shred Armor on Throwing Hit,Prefix,Large Idol [1×3]
Chance to Shred Armor on Throwing Hit,Prefix,Body Armor
Chance to Slow on Bow Hit,Prefix,Helmet
Chance to Summon a Bee with Acid Flask,Prefix,Huge Idol [1×4]
Channel Cost,Prefix,Helmet
Cold Damage,Prefix,"Any accessory, One-Handed Axe, Dagger, One-Handed Mace, Sceptre, One-Handed Sword, Wand, Two-Handed Axe, Two-Handed Mace, Two-Handed Spear, Two-Handed Staff, Two-Handed Sword, Quiver, Off-Hand Catalyst, Belt, Bow"
Cold Damage Over Time,Prefix,"Helmet, Body Armor"
Cold Damage Taken as Physical,Prefix,Grand Idol [3×1]
Cold Penetration,Prefix,Amulet
Cold Penetration with Frostbite,Prefix,Large Idol [1×3]
Cold Penetration with Frostbite,Prefix,"Helmet, Body Armor"
Crit Chance and Bow Attack Speed,Prefix,Bow
Critical Strike Chance,Prefix,"Any accessory, One-Handed Axe, Dagger, One-Handed Mace, Sceptre, One-Handed Sword, Wand, Two-Handed Axe, Two-Handed Mace, Two-Handed Spear, Two-Handed Staff, Two-Handed Sword, Off-Hand Catalyst, Bow, Quiver, Gloves"
Critical Strike Chance,Prefix,"Stout Idol [1×2], Huge Idol [1×4]"
Critical Strike Chance For Skeletons And Skeletal Mages,Prefix,Grand Idol [3×1]
Critical Strike Chance For Skeletons And Skeletal Mages,Prefix,"Helmet, Body Armor"
Critical Strike Chance for Totems,Prefix,Ornate Idol [4×1]
Critical Strike Chance With Lightning Skills,Prefix,Grand Idol [3×1]
Critical Strike Chance with Rampage,Prefix,Body Armor
Critical Strike Multiplier,Prefix,"Relic, Amulet, One-Handed Axe, Dagger, One-Handed Mace, Sceptre, One-Handed Sword, Two-Handed Axe, Two-Handed Mace, Two-Handed Spear, Two-Handed Staff, Two-Handed Sword, Bow, Wand, Off-Hand Catalyst"
Critical Strike Multiplier while Dual Wielding,Prefix,Grand Idol [3×1]
Critical Strike Multiplier while Transformed,Prefix,Grand Idol [3×1]
Critical Strike Multiplier While Transformed,Prefix,"Helmet, Body Armor"
Critical Strike Multiplier With Rive And Judgement,Prefix,Ornate Idol [4×1]
Damage and Area with Dive Bomb,Prefix,Helmet
Damage Dealt to Mana Before Health,Prefix,"Body Armor, Helmet"
Damage Leeched as Health while Transformed,Prefix,Large Idol [1×3]
Damage Leeched as Health While Transformed,Prefix,"Helmet, Body Armor"
Damage Over Time,Prefix,"Any accessory, One-Handed Axe, Dagger, One-Handed Mace, Sceptre, One-Handed Sword, Wand, Two-Handed Axe, Two-Handed Mace, Two-Handed Spear, Two-Handed Staff, Two-Handed Sword, Off-Hand Catalyst, Quiver, Bow, Gloves"
Damage Over Time,Prefix,"Small Idol [1×1], Grand Idol [3×1]"
Damage Over Time Taken While Transformed,Prefix,Large Idol [1×3]
Damage Over Time while at Low Health,Prefix,Adorned Idol [2×2]
Damage Over Time while Transformed,Prefix,Grand Idol [3×1]
Damage Over Time While Transformed,Prefix,"Body Armor, Helmet"
Damage Reflected,Prefix,"Body Armor, Shield"
Damage Reflected For Skeletons And Skeletal Mages,Prefix,Huge Idol [1×4]
Damage Reflected to Attackers,Prefix,"Body Armor, Shield"
Damage Reflected while you have Lightning Aegis,Prefix,Adorned Idol [2×2]
Damage to Minions Reflected to Attackers,Prefix,"Helmet, Body Armor"
Damage while Channelling,Prefix,"Amulet, Relic, Two-Handed Staff"
Damage While Transformed,Prefix,Ornate Idol [4×1]
Dexterity,Prefix,"Helmet, Body Armor, Boots, Ring, Gloves, Relic, Quiver"
Dodge Rating,Prefix,"Small Idol [1×1], Large Idol [1×3]"
Dodge Rating and Increased Health,Prefix,Large Idol [1×3]
Dodge Rating if Hit Recently,Prefix,"Helmet, Body Armor"
Elemental Bees Per 10 Seconds,Prefix,Huge Idol [1×4]
Elemental Damage,Prefix,"Amulet, Ring, Off-Hand Catalyst, Wand, Sceptre, Two-Handed Staff"
Elemental Damage Over Time,Prefix,"Any accessory, Belt, Wand, Two-Handed Staff"
Endurance Threshold and Increased Health,Prefix,Large Idol [1×3]
Endurance while Channelling Warpath,Prefix,Body Armor
Explosive Trap Maximum and Throwing Speed,Prefix,Huge Idol [1×4]
Extra Potion Slot And Potion Health,Prefix,Belt
Fire Damage,Prefix,"Any accessory, One-Handed Axe, Dagger, One-Handed Mace, Sceptre, One-Handed Sword, Two-Handed Axe, Two-Handed Mace, Wand, Two-Handed Spear, Two-Handed Staff, Two-Handed Sword, Quiver, Off-Hand Catalyst, Belt, Bow"
Fire Damage Over Time,Prefix,"Helmet, Body Armor"
Fire Damage Over Time,Prefix,"Helmet, Body Armor"
Fire Damage Taken as Physical,Prefix,Adorned Idol [2×2]
Fire Penetration,Prefix,Amulet
Fire Penetration while wielding a Dagger,Prefix,Huge Idol [1×4]
Fire Penetration with Ignite,Prefix,Large Idol [1×3]
Fire Penetration with Ignite,Prefix,Ornate Idol [4×1]
Fire Penetration with Ignite,Prefix,"Helmet, Body Armor"
Fireball Pierce Chance,Prefix,Helmet
Flame Ward Charge and Added Ward,Prefix,Body Armor
Freeze Rate and Freezing Concoction on Potion Use,Prefix,Belt
Freeze Rate Multiplier,Prefix,"Stout Idol [1×2], Huge Idol [1×4]"
Freeze Rate Multiplier and Cold Resistance,Prefix,"Any accessory, Gloves"
Freeze Rate per stack of Chill,Prefix,"Helmet, Body Armor"
Frost Claw Mana Efficiency and Elemental Penetration,Prefix,Ornate Idol [4×1]
Frost Wall Duration and Frostbite Chance,Prefix,"Helmet, Body Armor"
Frost Wall Fire Conversion,Prefix,Grand Idol [3×1]
Frostbite Duration,Prefix,Grand Idol [3×1]
Harvest Damage Leeched as Health,Prefix,"Helmet, Body Armor"
Healing Effectiveness,Prefix,Adorned Idol [2×2]
Health,Prefix,Stout Idol [1×2]
Health Gained on Block,Prefix,Shield
Health Gained on Glancing Blow,Prefix,"Helmet, Body Armor"
Health gained when stunned,Prefix,Huge Idol [1×4]
Health on Kill,Prefix,"Humble Idol [2×1], Adorned Idol [2×2]"
Health Regeneration,Prefix,"Small Idol [1×1], Grand Idol [3×1]"
Ignite And Spreading Flames Duration,Prefix,Ornate Idol [4×1]
Increased Abyssal Decay Duration,Prefix,"Helmet, Body Armor"
Increased Area for Area Skills,Prefix,"Gloves, Amulet"
Increased area for Elemental Area Skills,Prefix,Ornate Idol [4×1]
Increased area for Throwing Area Skills,Prefix,Large Idol [1×3]
Increased Area of mirage attacks with Lethal Mirage,Prefix,Adorned Idol [2×2]
Increased Area of Void Cleave,Prefix,Ornate Idol [4×1]
Increased Area with Acid Flask,Prefix,Large Idol [1×3]
Increased Area with Acid Flask,Prefix,"Helmet, Body Armor"
Increased Area with Cinder Strike's First Attack,Prefix,Grand Idol [3×1]
Increased Area with Cinder Strike's First Strike,Prefix,Helmet
Increased Area with Dancing Strikes,Prefix,Grand Idol [3×1]
Increased Area with Dancing Strikes,Prefix,Helmet
Increased Area with Detonating Arrow,Prefix,Grand Idol [3×1]
Increased Area with Detonating Arrow,Prefix,"Helmet, Body Armor"
Increased Area With Rive And Forge Strike,Prefix,Ornate Idol [4×1]
Increased Armor Shred Duration,Prefix,Helmet
Increased Armor Shred Effect,Prefix,Body Armor
Increased Armor Shred Effect,Prefix,"Helmet, Body Armor"
Increased Aspect of the Boar Duration,Prefix,Large Idol [1×3]
Increased Aspect of the Boar Duration,Prefix,"Helmet, Body Armor"
Increased Aspect of the Lynx Effect,Prefix,Huge Idol [1×4]
Increased Aspect of the Lynx Effect,Prefix,"Helmet, Body Armor"
Increased Aspect of the Shark Duration,Prefix,Adorned Idol [2×2]
Increased Aspect of the Shark Effect,Prefix,"Helmet, Body Armor"
Increased Aspect of the Viper Duration,Prefix,Huge Idol [1×4]
Increased Aspect of the Viper Effect,Prefix,"Helmet, Body Armor"
Increased Attack and Cast Speed for Summoned Vines,Prefix,Helmet
Increased Aura of Decay Area,Prefix,Huge Idol [1×4]
Increased Bleed Duration,Prefix,Large Idol [1×3]
Increased Bow Attack Speed for 3 seconds when you use a Bow Attack (10 second cooldown),Prefix,Adorned Idol [2×2]
Increased Cast Speed while Cursed,Prefix,Ornate Idol [4×1]
Increased Cast Speed while you have Lightning Aegis,Prefix,Large Idol [1×3]
Increased Chance to Find Potions,Prefix,"Belt, Amulet"
Increased Cooldown Recovery Speed for Surge,Prefix,Ornate Idol [4×1]
Increased Cooldown Recovery Speed while Transformed,Prefix,Helmet
Increased Crit Chance with Flurry,Prefix,Large Idol [1×3]
Increased crit chance with Flurry,Prefix,"Helmet, Body Armor"
Increased Critical Strike Chance For You And Your Minions,Prefix,"Helmet, Body Armor"
Increased Critical Strike Chance per Equipped Dagger,Prefix,Ornate Idol [4×1]
Increased Critical Strike Chance per Equipped Dagger,Prefix,Helmet
Increased Critical Strike Chance per Equipped Sword,Prefix,Grand Idol [3×1]
Increased Critical Strike Chance per Equipped Sword,Prefix,Body Armor
Increased Damage For 4 Seconds If You Have Cast Devouring Orb Recently,Prefix,Huge Idol [1×4]
Increased Damage of Skills use by Shadows,Prefix,"Helmet, Body Armor"
Increased Damage Over Time while you have an Ailment Overload,Prefix,Adorned Idol [2×2]
Increased Damage per active Shadow with Shadow Cascade,Prefix,Huge Idol [1×4]
Increased damage per active Shadow with Shadow Cascade,Prefix,"Helmet, Body Armor"
Increased Damage per arrow with Multishot,Prefix,Ornate Idol [4×1]
Increased Damage per arrow with Multishot,Prefix,"Helmet, Body Armor"
Increased Damage while wielding a Bow,Prefix,"Helmet, Body Armor"
Increased Damage while wielding a Dagger,Prefix,"Helmet, Body Armor"
Increased Damage while wielding a Sword,Prefix,"Helmet, Body Armor"
Increased Damage With Rip Blood And Blood Splatter,Prefix,Adorned Idol [2×2]
Increased Damage With Rip Blood And Blood Splatter,Prefix,"Helmet, Body Armor"
Increased Damage with Umbral Blades per stack of Dusk Shroud,Prefix,Ornate Idol [4×1]
Increased Damage With Vengeance And Smite,Prefix,Large Idol [1×3]
Increased Duration for Profane Veil,Prefix,Ornate Idol [4×1]
Increased duration with Hail of Arrows,Prefix,Large Idol [1×3]
Increased Echo Damage when a Skill Echoes,Prefix,Ornate Idol [4×1]
Increased Echo Damage When A Skill Echoes,Prefix,"Helmet, Body Armor"
Increased Elemental Nova Area,Prefix,Grand Idol [3×1]
Increased Fire Aura Area,Prefix,Grand Idol [3×1]
Increased Fire Aura Damage,Prefix,Large Idol [1×3]
Increased Fire Aura Damage,Prefix,"Helmet, Body Armor"
Increased Fire Damage And Ignite Duration,Prefix,"Helmet, Body Armor"
Increased Frequency of expending Storm Stacks,Prefix,Grand Idol [3×1]
Increased Hail of Arrows Duration,Prefix,Helmet
Increased Hammer Throw Damage,Prefix,"Helmet, Body Armor"
Increased Healing Effectiveness,Prefix,"Small Idol [1×1], Adorned Idol [2×2]"
Increased Healing Effectiveness,Prefix,"Any accessory, Shield"
Increased Lightning Damage while you have Lightning Aegis,Prefix,Adorned Idol [2×2]
Increased Melee Damage For 4 Seconds When a Skill Echoes,Prefix,Adorned Idol [2×2]
Increased Minion Cooldown Recovery Speed,Prefix,Huge Idol [1×4]
Increased Minion Melee Stun Chance,Prefix,Huge Idol [1×4]
Increased Physical Damage And Bleed Duration,Prefix,"Helmet, Body Armor"
Increased Poison Damage while Aura of Decay is active,Prefix,Ornate Idol [4×1]
Increased Poison Duration,Prefix,Helmet
Increased Projectile Speed With Marrow Shards And Bone Nova,Prefix,Huge Idol [1×4]
Increased Projectile Speed With Marrow Shards And Bone Nova,Prefix,Body Armor
Increased Shield Throw Critical Strike Chance,Prefix,"Helmet, Body Armor"
Increased Shock Duration,Prefix,Large Idol [1×3]
Increased Skeletal Mage Damage,Prefix,"Body Armor, Helmet"
Increased Smelters Wrath Damage,Prefix,"Helmet, Body Armor"
Increased Speed and Distance with Flame Rush,Prefix,Helmet
Increased Spell Crit (Doubled if you have over 300 Max Mana),Prefix,"Helmet, Body Armor"
Increased Spell Damage per Skeletal Mage,Prefix,"Helmet, Body Armor"
Increased Spirit Frequency with Chthonic Fissure,Prefix,Body Armor
Increased Stun Chance,Prefix,"Small Idol [1×1], Adorned Idol [2×2]"
Increased Stun Chance With Throwing Attacks,Prefix,Huge Idol [1×4]
Increased Stun Duration,Prefix,"Humble Idol [2×1], Adorned Idol [2×2]"
Increased Time Rot Duration,Prefix,Huge Idol [1×4]
Increased Void Damage And Added Spell Void Damage,Prefix,"Helmet, Body Armor"
Increased Void Damage For 4 Seconds When a Skill Echoes,Prefix,Adorned Idol [2×2]
Increased Volcanic Orb Damage And Reduced Speed,Prefix,Ornate Idol [4×1]
Increased Warpath Area,Prefix,Grand Idol [3×1]
Intelligence,Prefix,"Helmet, Body Armor, Boots, Ring, Gloves, Relic"
Less frequency of Storm Stacks and Added Damage With Storm Bolt,Prefix,Ornate Idol [4×1]
Level of Abyssal Echoes,Prefix,Body Armor
Level of Acid Flask,Prefix,Body Armor
Level of Aerial Assault,Prefix,Relic
Level of Anomaly,Prefix,Helmet
Level of Arcane Ascendance,Prefix,Body Armor
Level of Assemble Abomination,Prefix,Relic
Level of Aura Of Decay,Prefix,Relic
Level of Avalanche,Prefix,Relic
Level of Ballista,Prefix,Relic
Level of Black Hole,Prefix,Relic
Level of Bone Curse,Prefix,Relic
Level of Chaos Bolts,Prefix,Helmet
Level of Chthonic Fissure,Prefix,Body Armor
Level of Cinder Strike,Prefix,Relic
Level of Dancing Strikes,Prefix,Relic
Level of Dark Quiver,Prefix,Helmet
Level of Death Seal,Prefix,Helmet
Level of Decoy,Prefix,Helmet
Level of Detonating Arrow,Prefix,Body Armor
Level of Devouring Orb,Prefix,Helmet
Level of Disintegrate,Prefix,Relic
Level of Dive Bomb,Prefix,Body Armor
Level of Drain Life,Prefix,Body Armor
Level of Dread Shade,Prefix,Body Armor
Level of Earthquake,Prefix,Helmet
Level of Elemental Nova,Prefix,Helmet
Level of Enchant Weapon,Prefix,Helmet
Level of Entangling Roots,Prefix,Helmet
Level of Erasing Strike,Prefix,Body Armor
Level of Eterra's Blessing,Prefix,Body Armor
Level of Explosive Trap,Prefix,Body Armor
Level of Falconry,Prefix,Helmet
Level of Fireball,Prefix,Body Armor
Level of Firebrand,Prefix,Body Armor
Level of Flame Reave,Prefix,Body Armor
Level of Flame Rush,Prefix,Body Armor
Level of Flame Ward,Prefix,Relic
Level of Flay,Prefix,Body Armor
Level of Flurry,Prefix,Relic
Level of Focus,Prefix,Helmet
Level of Forge Strike,Prefix,Body Armor
Level of Frost Claw,Prefix,Relic
Level of Frostwall,Prefix,Relic
Level of Fury Leap,Prefix,Relic
Level of Gathering Storm,Prefix,Body Armor
Level of Ghostflame,Prefix,Helmet
Level of Glacier,Prefix,Body Armor
Level of Glyph of Dominion,Prefix,Relic
Level of Hail of Arrows,Prefix,Body Armor
Level of Hammer Throw,Prefix,Relic
Level of Harvest,Prefix,Relic
Level of Healing Hands,Prefix,Helmet
Level of Heartseeker,Prefix,Body Armor
Level of Holy Aura,Prefix,Relic
Level of Hungering Souls,Prefix,Helmet
Level of Ice Barrage,Prefix,Body Armor
Level of Infernal Shade,Prefix,Relic
Level of Javelin,Prefix,Relic
Level of Judgement,Prefix,Relic
Level of Lethal Mirage,Prefix,Relic
Level of Lightning Blast,Prefix,Helmet
Level of Lunge,Prefix,Body Armor
Level of Maelstrom,Prefix,Body Armor
Level of Mana Strike,Prefix,Body Armor
Level of Manifest Armor,Prefix,Helmet
Level of Marrow Shards,Prefix,Helmet
Level of Meteor,Prefix,Body Armor
Level of Multishot,Prefix,Helmet
Level of Multistrike,Prefix,Body Armor
Level of Net,Prefix,Relic
Level of Profane Veil,Prefix,Relic
Level of Puncture,Prefix,Helmet
Level of Reaper Form,Prefix,Body Armor
Level of Rebuke,Prefix,Relic
Level of Ring Of Shields,Prefix,Helmet
Level of Rip Blood,Prefix,Helmet
Level of Rive,Prefix,Body Armor
Level of Runebolt,Prefix,Helmet
Level of Runic Invocation,Prefix,Helmet
Level of Sacrifice,Prefix,Body Armor
Level of Serpent Strike,Prefix,Relic
Level of Shadow Cascade,Prefix,Body Armor
Level of Shatter Strike,Prefix,Body Armor
Level of Shield Bash,Prefix,Relic
Level of Shield Rush,Prefix,Body Armor
Level of Shield Throw,Prefix,Helmet
Level of Shift,Prefix,Body Armor
Level of Shurikens,Prefix,Helmet
Level of Smelter's Wrath,Prefix,Helmet
Level of Smite,Prefix,Relic
Level of Smoke Bomb,Prefix,Body Armor
Level of Snap Freeze,Prefix,Relic
Level of Soul Feast,Prefix,Body Armor
Level of Spirit Plague,Prefix,Helmet
Level of Spriggan Form,Prefix,Relic
Level of Static,Prefix,Relic
Level of Static Orb,Prefix,Helmet
Level of Summon Bear,Prefix,Helmet
Level of Summon Bone Golem,Prefix,Helmet
Level of Summon Frenzy Totem,Prefix,Relic
Level of Summon Raptor,Prefix,Body Armor
Level of Summon Sabertooth,Prefix,Relic
Level of Summon Scorpion,Prefix,Relic
Level of Summon Skeletal Mage,Prefix,Relic
Level of Summon Skeleton,Prefix,Body Armor
Level of Summon Spriggan,Prefix,Helmet
Level of Summon Storm Crow,Prefix,Body Armor
Level of Summon Storm Totem,Prefix,Helmet
Level of Summon Thorn Totem,Prefix,Helmet
Level of Summon Volatile Zombie,Prefix,Helmet
Level of Summon Wolf,Prefix,Helmet
Level of Summon Wraith,Prefix,Body Armor
Level of Surge,Prefix,Relic
Level of Swarmblade Form,Prefix,Body Armor
Level of Swipe,Prefix,Relic
Level of Symbols Of Hope,Prefix,Relic
Level of Synchronized Strike,Prefix,Helmet
Level of Teleport,Prefix,Helmet
Level of Tempest Strike,Prefix,Body Armor
Level of Tornado,Prefix,Body Armor
Level of Transplant,Prefix,Relic
Level of Umbral Blades,Prefix,Relic
Level of Upheaval,Prefix,Body Armor
Level of Vengeance,Prefix,Helmet
Level of Void Cleave,Prefix,Relic
Level of Volatile Reversal,Prefix,Helmet
Level of Volcanic Orb,Prefix,Relic
Level of Wandering Spirits,Prefix,Body Armor
Level of Warcry,Prefix,Relic
Level of Warpath,Prefix,Body Armor
Level of Werebear Form,Prefix,Helmet
Lightning Critical Strike Multiplier,Prefix,"Helmet, Body Armor"
Lightning Damage,Prefix,"Any accessory, One-Handed Axe, Dagger, One-Handed Mace, Sceptre, One-Handed Sword, Wand, Two-Handed Axe, Two-Handed Mace, Two-Handed Spear, Two-Handed Staff, Two-Handed Sword, Quiver, Off-Hand Catalyst, Belt, Bow"
Lightning Damage And Leech,Prefix,Sceptre
Lightning Damage Taken as Physical,Prefix,Huge Idol [1×4]
Lightning Damage with Hammer Throw,Prefix,Grand Idol [3×1]
Lightning Damage with Shurikens,Prefix,Huge Idol [1×4]
Lightning Damage with Shurikens,Prefix,"Body Armor, Helmet"
Lightning Penetration,Prefix,Amulet
Mana,Prefix,"Relic, Gloves, Off-Hand Catalyst, Amulet, Helmet, Body Armor"
Mana,Prefix,"Minor Idol [1×1], Grand Idol [3×1]"
Mana,Prefix,"Helmet, Body Armor"
Mana and Mana Regen,Prefix,"One-Handed Axe, Dagger, One-Handed Sword, Wand, Two-Handed Axe, Two-Handed Spear, Two-Handed Staff, Two-Handed Sword"
Mana and Mana Spent Gained as Ward,Prefix,"Sceptre, Wand, Two-Handed Staff"
Mana Efficiency and Wither Chance with Soul Feast,Prefix,Ornate Idol [4×1]
Mana efficiency with Decoy,Prefix,"Helmet, Body Armor"
Mana Efficiency with Ghostflame,Prefix,Large Idol [1×3]
Mana Efficiency with Synchronised Strike,Prefix,Huge Idol [1×4]
Mana efficiency with Synchronised Strike,Prefix,"Helmet, Body Armor"
Mana Efficiency With Void Spells,Prefix,Ornate Idol [4×1]
Mana Gained on Harvest Use,Prefix,Body Armor
Mana Gained When Transforming Back To Human Form,Prefix,Grand Idol [3×1]
Mana Gained when you directly Cast Smite,Prefix,Helmet
Mana Gained when you use Rive and Hit at least one enemy,Prefix,Helmet
Mana Gained when you use Vengeance and Hit at least one enemy,Prefix,Body Armor
