group,id,title,type,rarity,subtype,level,class,min_drop_level,implicit,explicit,lp_level,lp0_pct,lp1_pct,lp2_pct,lp3_pct,lp4_pct,lp_remarks,global_drop_reroll_chance,rune_of_ascendance_chance,vendor_cost,timeline,dungeon,arena,bossfight,related_ailments,related_abilities,lore
Regular Unique Items,380,Cocooned Cleaver,One-Handed Axe,,,,,,,Contains a random unique one-handed axe,,,,,,,,,,,,,,,,,
Regular Unique Items,245,Renegade'S Will,One-Handed Mace,Unique,Pick Hammer,37,,,+ 52 Melee Damage,"+ (3 to 5) to Level of Vengeance
(35% to 53%) more hit damage with Vengeance against bosses and rare enemies (multiplicative with other modifiers)
(35% to 53%) increased Melee Attack Speed
+ 5 to All Attributes
5% increased Movement Speed",10,42.86%,38.85%,15.51%,2.64%,0.13%,,0%,22.22%,,"Reign of Dragons Timeline (""Unique or Set Axe Mace or Spear"" echo rewards) - 3.45% chance",,,,,Vengeance,
Regular Unique Items,80,Bloodgeon,One-Handed Mace,Unique,Flanged Mace,62,,,"+ 30 Melee Damage
(30% to 48%) Increased Stun Chance","+ (50 to 70) Physical Melee Damage
7% of Physical Melee Damage Leeched as Health
(30% to 50%) Increased Leech Rate
(30% to 50%) Increased Stun Duration
(4 to 8) Health Gain on Stun",62,75.2%,22.56%,2.18%,0.064%,0.000076%,,50%,11.11%,,"Reign of Dragons Timeline (""Unique or Set Axe Mace or Spear"" echo rewards) - 1.73% chance",,,,,,Crush. Maul. Bludgeon.
Regular Unique Items,82,Arek'S Bones,One-Handed Mace,Unique,Ebertusk Club,63,,,"+ 53 Melee Damage
(53% to 75%) Increased Stun Chance","+ (25 to 55) Physical Melee Damage
+ (60 to 90) % Chance to apply Armour Shred on Hit for You and Your Minions
(100 to 200) % Increased Armour Shred Effect for You and Your Minions
100% Chance to summon Arek's Flesh when a hit leaves you below half health Arek's Flesh is a melee minion that lasts for 20 seconds. Its damage scales with intelligence. Its health scales with intelligence and character level.",63,75.76%,22.13%,2.06%,0.058%,0.000062%,,0%,22.22%,,"Reign of Dragons Timeline (""Unique or Set Axe Mace or Spear"" echo rewards) - 3.45% chance",,,,Shred Armor,Summon Arek's Flesh,The necromancers were careful to keep Arek's mind intact while they extracted the bones from his flesh.
Regular Unique Items,381,Cocooned Club,One-Handed Mace,,,,,,,Contains a random unique one-handed mace,,,,,,,,,,,,,,,,,
Regular Unique Items,438,Whetstone Gavel,Primordial One-Handed Mace,Unique,Rune Hammer,78,,,"+ 64 Melee Damage
(80% to 128%) Increased Stun Chance
+ 1 to Level of Lightning Skills","+ 1 to Level of Fire Skills
+ 1 to Level of Physical Skills
If you have an Exalted Weapon in your offhand its stats have (90 to 100) % increased effectiveness
(15% to 35%) increased Armor
(15% to 35%) of Armor Mitigation also applies to Damage over Time
+ (5 to 13) to All Attributes",78,83.72%,15.5%,0.77%,0.0096%,0.0000017%,Primordial Unique item - only one Primordial item of any kind can be equipped at a time,,,"Skarven Bloodhorn
Ancient Bones x 21,500
Primordial Fang x 21
Primordial Petal x 21",,,,Rift Beast - 0.02% chance (drop chance increases with evolution and greatly increases with corruption),,,All is judged according to its creation
Regular Unique Items,36,Rainbow Edge,One-Handed Sword,Unique,Falchion,30,,,+ 27 Melee Damage,"+ (25% to 75%) Critical Strike Multiplier
+ 7 Lightning Melee Damage
+ 7 Fire Melee Damage
+ 7 Cold Melee Damage
+ (25 to 75) % chance to Shock Ignite and Chill on Hit",10,42.86%,38.85%,15.51%,2.64%,0.13%,,0%,9.26%,,"Reign of Dragons Timeline (""Unique or Set Sword or Dagger"" echo rewards) - 4.08% chance",,,,"Ignite
Chill
Shock",,
Regular Unique Items,349,Yrun'S Penance,One-Handed Sword,Unique,Broadsword,4,,,+ 22 Melee Damage,"(2% to 4%) of Cold Damage Leeched as Health
100% of Mana Strike Base Damage Converted to Cold When converted to Cold Mana Strike has a Freeze Rate of 40
100% of Fury Leap Base Damage Converted to Cold When converted to Cold Fury Leap has a Freeze Rate of 100
+ (22% to 46%) Chance to apply Chill on Melee Hit
+ (22% to 46%) Freeze Rate per stack of Chill
+ (10% to 34%) Cold Penetration",30,56.02%,34.51%,8.61%,0.84%,0.013%,,0%,9.26%,,"Reign of Dragons Timeline (""Unique or Set Sword or Dagger"" echo rewards) - 4.08% chance",,,,Chill,"Mana Strike
Fury Leap","Like Yrun himself, the former champion's blade was imprisoned in bark and ice."
Regular Unique Items,143,Gladiator'S Oath,One-Handed Sword,Unique,Broadsword,31,,,+ 22 Melee Damage,"(10% to 15%) increased Melee Attack Speed
+ (20% to 45%) Critical Strike Multiplier while Dual Wielding
(20% to 40%) Increased Area with Dancing Strikes
Dancing Strikes' 3rd Strike Creates a Fighting Arena
+ 100% Melee Critical Strike Chance while in Dancing Strikes' Fighting Arena",31,56.66%,34.22%,8.33%,0.79%,0.011%,,0%,9.26%,,"Reign of Dragons Timeline (""Unique or Set Sword or Dagger"" echo rewards) - 4.08% chance",,,,,Dancing Strikes,"There is no mercy among the sands of the arena. Majasa demands beauty, be it the glory of victory or the dance of blood."
Regular Unique Items,311,Transcriber'S Graver,One-Handed Sword,Unique,Dawn Blade,48,,,+ 54 Melee Damage,"+ (16 to 24) Spell Damage
Modifiers to Volcanic Orb speed also apply to Flame Rush speed and distance at (60 to 64) % effectiveness
Increases to Fire Aura Area also apply to Glyph of Dominion
(80% to 120%) chance to cast Fire Aura each second while standing on your Glyph of Dominion
+ (6 to 10) Spell Damage with Flame Rush per stack of Fire Aura
+ (12% to 20%) Elemental Penetration",48,67.12%,28.32%,4.32%,0.23%,0.00095%,,0%,9.26%,,"Reign of Dragons Timeline (""Unique or Set Sword or Dagger"" echo rewards) - 4.08% chance",,,,,"Volcanic Orb
Flame Rush
Fire Aura
Glyph of Dominion",Carve the burning nightmares into stone
Regular Unique Items,225,Aurelis,One-Handed Sword,Unique,Longsword,50,,,+ 50 Melee Damage,"+ (20 to 28) Lightning Damage with Spells and Melee Attacks
+ (1 to 2) to Level of Multistrike
+ (1 to 2) to Level of Smite
100% Chance to cast Smite after you use Multistrike and hit a Boss or Rare enemy Casts smite at the enemy hit. Extra chance above 100% has no effect.
+ (40% to 48%) Chance to apply Electrify on Melee Hit
(34% to 64%) Lightning Penetration with Electrify",50,68.31%,27.54%,3.96%,0.19%,0.00068%,,0%,9.26%,,"Reign of Dragons Timeline (""Unique or Set Sword or Dagger"" echo rewards) - 4.08% chance",,,,Electrify,"Multistrike
Smite",The sky's wrath alights in a golden storm.
Regular Unique Items,346,Palarus'S Sacred Light,One-Handed Sword,Unique,Broadsword,6,,,+ 22 Melee Damage,"+ 1 Melee Damage per 2 Attunement
+ 1 Spell Damage per 2 Strength
+ (32% to 46%) chance to cast Smite on Melee hit (up to 3 times per second)
(32% to 46%) chance to cast Smite at two additional targets when you cast it directly
+ 2 to All Attributes",6,40.14%,39.31%,17.14%,3.21%,0.20%,,0%,9.26%,,"Reign of Dragons Timeline (""Unique or Set Sword or Dagger"" echo rewards) - 4.08% chance",,,,,Smite,
Regular Unique Items,336,Naal'S Tooth,One-Handed Sword,Unique,Serrated Tooth,64,,,"+ 50 Melee Damage
+ (25% to 35%) Critical Strike Multiplier
+ (3 to 5) Strength","+ (10 to 17) Melee Damage for you and your Minions
(5 to 10) % increased Movement Speed for you and your Minions
+ (1 to 2) to Level of Melee Skills
+ (1 to 2) to Level of Minion Melee Skills
(10% to 17%) reduced Raptor Size Reduces hitbox size for receiving hits, but does not affect the raptors' attacks or stats.
(47% to 42%) less Raptor Damage multiplicative with other modifiers
You can summon Raptors up to your Companion Limit",64,76.31%,21.69%,1.94%,0.052%,0.000050%,,80%,1.85%,,"Reign of Dragons Timeline (""Unique or Set Sword or Dagger"" echo rewards) - 0.82% chance",,,,,Summon Raptor,"Among the island nomads there was once a legend of a great beastmaster, Gatan Larn, who was so in tune with the paravian kind that he could commune with crows and raptors."
Regular Unique Items,292,Apogee Of Frozen Light,One-Handed Sword,Unique,Longsword,65,,,+ 50 Melee Damage,"+ (38 to 76) Cold Melee Damage
+3 to Cold and Necrotic Minion Skills
(24 to 38) % chance for Minions to Chill Attackers when Hit
Minions deal (14 to 24) % more Cold and Necrotic Damage to Chilled Enemies Multiplicative with other modifiers
When a Minion dies you gain a stack of Frozen Vengeance Up to 8 stacks. Stacks last 8 seconds and gaining a new one refreshes their duration.
When you Hit an enemy with a melee attack you expend a stack of Frozen Vengeance to grant all your minions Frenzy and 24% more Damage to Chilled Enemies for 8 seconds and Freeze up to 8 nearby normal and magic enemies for 3 seconds This effect cannot trigger more than once per second and the buff does not stack. The freeze has a range limit of 8 metres.",65,76.86%,21.26%,1.84%,0.047%,0.000041%,,0%,9.26%,,"Reign of Dragons Timeline (""Unique or Set Sword or Dagger"" echo rewards) - 4.08% chance",,,,"Chill
Frenzy",,"Formosus knew not what cause these warriors had fought for, or what ancient conflict left their bodies frozen upon the outer ice. But, as he felt the rage and power of their lingering souls he knew well what purpose they would now fulfill."
Regular Unique Items,34,Humming Bee,One-Handed Sword,Unique,Gladius,6,,,+ 10 Melee Damage,"(20% to 25%) increased Melee Attack Speed
(3% to 7%) increased Movement Speed
(3 to 7) Ward Gain on Melee Hit
1% Chance per 20 Ward to gain Haste for 2 seconds when you directly use a Melee Attack
Elemental Attacks deal 1% Increased Damage per 200 Ward This effects all damage from the attack, including damage from ailments and non-elemental damage.",70,79.56%,19.06%,1.35%,0.027%,0.000013%,,0%,9.26%,,"Reign of Dragons Timeline (""Unique or Set Sword or Dagger"" echo rewards) - 4.08% chance",,,,Haste,,Bzzzzzzzzzz
Regular Unique Items,35,Eye Of Reen,One-Handed Sword,Unique,Katana,70,,,"+ 38 Melee Damage
+ (30% to 50%) Critical Strike Multiplier","+ (25 to 45) Fire Melee Damage
+ (100% to 200%) Chance to apply Ignite on Melee Hit
(75% to 100%) Chance to gain a stack of Reen's Ire for 5 seconds when you crit with a melee attack, up to 30 times per 5 seconds Chance above 100% has no effect
Each stack of Reen's Ire grants 5% melee critical strike multiplier and 10% increased fire damage over time",70,79.56%,19.06%,1.35%,0.027%,0.000013%,,70%,2.78%,,"Reign of Dragons Timeline (""Unique or Set Sword or Dagger"" echo rewards) - 1.22% chance",,,,Ignite,,Dance through the flames.
Regular Unique Items,223,Chronostasis,One-Handed Sword,Unique,Dawn Blade,75,,,+ 54 Melee Damage,"Your melee skills consume up to (500 to 2000) ward, gaining +1 melee damage per 10 ward consumed Dual wielding this weapon will not provide this benefit twice, but it will raise the maximum ward you can consume for additional damage
+ (50 to 80) Ward per Second
+ (6 to 10) Intelligence
(10% to 15%) increased Attack Speed",75,82.19%,16.84%,0.96%,0.014%,0.0000039%,,0%,9.26%,,"Reign of Dragons Timeline (""Unique or Set Sword or Dagger"" echo rewards) - 4.08% chance",,,,,,"It's the missing beat, the spurious tick of a broken clock, the jolt of sudden realization. As we swing this timeless artifact like frenzied apes, minds future and past laugh at our ignorance."
Regular Unique Items,379,Cocooned Short Sword,One-Handed Sword,,,,,,,Contains a random unique one-handed sword,,,,,,,,,,,,,,,,,
Regular Unique Items,282,Firestarter'S Torch,Sceptre,Unique,Brass Sceptre,1,,,"+ 10 Melee Damage
+ 3 Spell Damage","+ (14% to 26%) Chance to apply Spreading Flames on Hit
(26 to 42) % More Fire Damage to enemies afflicted by Spreading Flames Multiplicative with other modifiers
(42% to 72%) increased Fire Damage Over Time
-4 Mana Cost for Fire Spell Skills
4% increased Movement Speed",0,36%,39.68%,19.7%,4.25%,0.37%,,0%,21.83%,,"The Stolen Lance Timeline (""Unique or Set Staff or Sceptre"" echo rewards) - 7.56% chance",,,,Spreading Flames,,"""By Rahyeh's will this town shall burn!"""
Regular Unique Items,234,Hazelroot,Sceptre,Unique,Oak Sceptre,21,,,"+ 21 Melee Damage
+ (10 to 17) Spell Damage
(15% to 35%) increased Minion Damage","(22% to 36%) Chance to Cast Thorn Shield on yourself when you directly use a Physical Skill Thorn Shield is an active skill while in Spriggan Form and is affected by its tree
+ 1 Spell Physical Damage per 3 Attunement Each point of attunement counts, so if you have 2 Attunement you gain 0.67 Spell Physical Damage.
(44% to 72%) increased Physical Damage
+ (22 to 36) Health
+ (22 to 36) Mana",21,50.2%,36.86%,11.45%,1.45%,0.039%,,0%,21.83%,,"The Stolen Lance Timeline (""Unique or Set Staff or Sceptre"" echo rewards) - 7.56% chance",,,,,Thorn Shield,
Regular Unique Items,33,Culnivar'S Claim,Sceptre,Unique,Auric Sceptre,50,,,"+ 38 Melee Damage
+ (38 to 48) Spell Damage","90% increased Lightning Spell Damage
90% increased Lightning Spell Critical Strike Chance
+ (16 to 24) Lightning Spell Damage
(16% to 24%) increased Mana Regen
100% of mana converted to ward when you reach full mana Does not trigger while your mana is replaced with Rage",50,68.31%,27.54%,3.96%,0.19%,0.00068%,,0%,21.83%,,"The Stolen Lance Timeline (""Unique or Set Staff or Sceptre"" echo rewards) - 7.56% chance",,,,,,"Culnivar, last scion of Liath, was a symbol of hope for the living slaves of Thetima."
Regular Unique Items,32,Frozen Ire,Sceptre,Unique,Ice Sceptre,33,,,"+ 43 Cold Melee Damage
+ 43 Cold Spell Damage
+ (43% to 143%) Freeze Rate Multiplier","(80% to 120%) increased Cold Damage
+1 spell cold damage per 5 character levels
+2% freeze rate multiplier per character level
+1% necrotic resistance per character level
15% chance to cast tundra nova on hit with cold skills (chance doubled against undead)",60,74.08%,23.42%,2.43%,0.078%,0.00011%,,0%,21.83%,,"The Stolen Lance Timeline (""Unique or Set Staff or Sceptre"" echo rewards) - 7.56% chance",,,,,Tundra Nova,"An alliance of wengari and nomads gathered in the northern tundra, forging weapons of ice and preparing to reclaim Heoborea from the Immortal Empire."
Regular Unique Items,355,Aberroth'S Command,Sceptre,Unique,Obsidian Sceptre,65,,,"+ 55 Melee Damage
+ (55 to 65) Spell Damage","Void Cleave is now instant and is no longer a movement skill
Void Cleave no longer has a weapon requirement
Ravaging Auras created by Void Cleave lasts an additional (6 to 12) seconds and have +40% Void Penetration
(200% to 285%) increased Damage Over Time
(20% to 25%) Increased Area for Area Skills
+ (8% to 20%) Void Penetration",65,76.86%,21.26%,1.84%,0.047%,0.000041%,,,,,"Harbinger of Defilement (Fall of the Outcasts Timeline, empowered only) - 10% chance (up to 22% chance with increased item rarity)
Aberroth (Threshold of Eternity Woven Echo) - 10% chance (drops for host only)
Aberroth (Threshold of Eternity Woven Echo) - 2% chance",,,"Aberroth - 10% chance (drops for host only)
Aberroth - 2% chance",,"Void Cleave
Ravaging Aura","""Be the instrument of ruin, that which delivers time's atrophy, and fate's damnation."""
Regular Unique Items,318,The Shattered Cycle,Sceptre,Unique,Obsidian Sceptre,72,,,"+ 55 Melee Damage
+ (55 to 65) Spell Damage","+ (1 to 2) to Level of Runic Invocation
After you directly cast a One Rune Invocation you gain Dawn to Dusk You cannot gain Dawn to Dusk while you have Dusk to Midnight
Directly casting a Two Rune Invocation consumes Dawn to Dusk to gain +48 Spell Damage and 24% increased area and grant you Dusk to Midnight
Directly casting a Three Rune Invocation consumes Dusk to Midnight to gain +96 Spell Damage and 48% increased area
(24% to 36%) increased Cast Speed
(24% to 36%) increased Mana Regen",72,80.62%,18.17%,1.18%,0.021%,0.0000083%,,72%,6.11%,,"The Stolen Lance Timeline (""Unique or Set Staff or Sceptre"" echo rewards) - 2.12% chance",,,,,Runic Invocation,
Regular Unique Items,389,Cocooned Sceptre,Sceptre,,,,,,,Contains a random unique sceptre,,,,,,,,,,,,,,,,,
Regular Unique Items,236,Drought'S Release,Dagger,Unique,Kris,27,,,"+ 25 Melee Damage
+ (35% to 65%) Critical Strike Multiplier","(23% to 30%) of Missing Health regained on Potion Use Missing health is calculated before any other health gain from potion use
+ 1 to Level of Acid Flask
(23% to 30%) Increased area of effect with Acid Flask
(30% to 53%) increased Poison Damage
+ 3 to All Attributes",10,42.86%,38.85%,15.51%,2.64%,0.13%,,0%,14.49%,,"Reign of Dragons Timeline (""Unique or Set Sword or Dagger"" echo rewards) - 4.08% chance",,,,,Acid Flask,"""Our tribulations shall end with prosperity, and theirs with death"" - Grand Alchemist Avello"
Regular Unique Items,285,Jelkhor'S Blast Knife,Dagger,Unique,Majasan Dagger,36,,,"+ 44 Melee Damage
+ 4% Critical Strike Chance","+ 3 to Level of Detonating Arrow
(-6 to -3) Mana Cost for Detonating Arrow
Detonating Arrow no longer requires a bow
Detonating Arrow's initial projectile is changed to a melee attack that applies an explosive charge to each enemy it hits. Each charge explodes after the same duration that an arrow from Detonating Arrow would, and the explosion deals the same damage.
Detonating Arrow scales with melee damage instead of bow damage
+ (48 to 65) Melee Damage for directly used Detonating Arrow",25,52.81%,35.89%,10.13%,1.15%,0.024%,,0%,14.49%,,"Reign of Dragons Timeline (""Unique or Set Sword or Dagger"" echo rewards) - 4.08% chance",,,,,Detonating Arrow,"Jelkhor was once the greatest archer and artificer in all of Majasa's domain. Eventually the diamond matrons grew fearful of his popularity among the human populace, and so they accused him of a terrible crime and had his left hand severed, so that he could no longer wield a bow. Though disgraced and outcast, Jelkhor's resolve remained and his ingenuity gave him the tools he needed to deliver his revenge."
Regular Unique Items,342,Traitor'S Tongue,Dagger,Unique,Kris,27,,,"+ 25 Melee Damage
+ (35% to 65%) Critical Strike Multiplier","+ (10% to 13%) Parry Chance with Traitor's Tongue equipped in the mainhand
+ (10% to 13%) Critical Strike Chance with Traitor's Tongue equipped in the offhand
+ (1 to 2) to Level of Dexterity Skills
+ (1 to 2) to Level of Intelligence Skills
(10% to 18%) increased Melee Attack Speed",27,54.1%,35.36%,9.51%,1.01%,0.019%,,60%,5.8%,,"Reign of Dragons Timeline (""Unique or Set Sword or Dagger"" echo rewards) - 1.63% chance",,,,,,
Regular Unique Items,315,Dragorath'S Claw,Dagger,Unique,Rune Dagger,37,,,"+ 36 Melee Damage
+ (3% to 4%) Critical Strike Chance
+ (30 to 40) Spell Damage","(37% to 47%) Chance to Cast Lightning Blast on Crit with Frost Claw (up to 3 casts per second) Consumes Lightning Blast's mana cost
Lightning Blast cast this way has +1% Critical Strike Chance per 5% uncapped Lightning Resistance and +1% Critical Strike Multiplier per 5% uncapped Cold Resistance
(7 to 17) Ward Gained on Crit with Frost Claw
+ (7% to 17%) to All Resistances
+ (37% to 47%) Spell Critical Strike Multiplier",37,60.43%,32.32%,6.73%,0.52%,0.0050%,,0%,14.49%,,"Reign of Dragons Timeline (""Unique or Set Sword or Dagger"" echo rewards) - 4.08% chance",,,,,"Lightning Blast
Frost Claw",
Regular Unique Items,192,Fulgurite Shard,Dagger,Unique,Obsidian Dagger,71,,,"+ 43 Melee Damage
+ 4% Critical Strike Chance
(20% to 80%) increased Physical Damage","60% of Shuriken and Lethal Mirage Base Damage converted to Lightning Adds a Lightning Tag. Conversion above 100% has no effect. At 100% conversion the Physical Tag is lost.
+ (16 to 26) Lightning Damage with Shurikens
+ (61 to 81) Lightning Damage with Lethal Mirage
(11% to 21%) Increased Cooldown Recovery Speed with Lethal Mirage
(41% to 61%) increased Lightning Damage
+ (6% to 16%) Lightning Penetration",60,74.08%,23.42%,2.43%,0.078%,0.00011%,,0%,14.49%,,"Reign of Dragons Timeline (""Unique or Set Sword or Dagger"" echo rewards) - 4.08% chance",,,,,"Shurikens
Lethal Mirage",The best weapon smiths of the western isles disregard common metal. They need only the glass left in the wake of Lagon's fury.
Regular Unique Items,136,Smoke Weaver,Dagger,Unique,Poignard,52,,,"+ 9 Melee Damage
+ 2% Critical Strike Chance","+ (40 to 50) Physical Melee Damage
+ (20% to 35%) Chance to apply Blind on Melee Hit
+ (250 to 410) Dodge Rating
(20% to 25%) Reduced Shift Distance Multiplicative with nodes on the Shift Tree
(20% to 25%) Increased Cooldown Recovery Speed for Shift",70,79.56%,19.06%,1.35%,0.027%,0.000013%,,50%,7.25%,,"Reign of Dragons Timeline (""Unique or Set Sword or Dagger"" echo rewards) - 2.04% chance",,,,Blind,Shift,A true assassin must create their own shadows to strike from.
