Name,Affix Type,Lvl,Reroll %,Tier1,Tier2,Tier3,Tier4,Tier5,Tier6,Tier7,Tier8
Level of Shurikens,Prefix,4,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Smelter's Wrath,Prefix,50,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Smite,Prefix,22,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Smoke Bomb,Prefix,7,86%,+1 | +(8 to 12),+1 | +(13 to 18),+1 | +(19 to 24),+1 | +(25 to 30),+2 | +(31 to 38),+3 | +(45 to 51),+4 | +(52 to 60),+6 | +(96 to 120)
Level of Snap Freeze,Prefix,4,86%,+1 | +(5 to 8),+1 | +(9 to 12),+1 | +(13 to 16),+1 | +(17 to 20),+2 | +(21 to 25),+3 | +(30 to 34),+4 | +(35 to 40),+6 | +(64 to 80)
Level of Soul Feast,Prefix,35,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Spirit Plague,Prefix,17,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Spriggan Form,Prefix,35,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Static,Prefix,40,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Static Orb,Prefix,4,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Summon Bear,Prefix,25,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Summon Bone Golem,Prefix,12,86%,+1 | +(10 to 30),+1 | +(31 to 80),+1 | +(81 to 160),+1 | +(161 to 320),+2 | +(321 to 500),+3 | +(800 to 1200),+4 | +(1201 to 2000),+6 | +(3200 to 4000)
Level of Summon Frenzy Totem,Prefix,35,86%,+1 | +(10% to 20%),+1 | +(21% to 40%),+1 | +(41% to 60%),+1 | +(61% to 80%),+2 | +(81% to 120%),+3 | +(142% to 160%),+4 | +(161% to 200%),+6 | +(350% to 400%)
Level of Summon Raptor,Prefix,25,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Summon Sabertooth,Prefix,12,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Summon Scorpion,Prefix,30,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Summon Skeletal Mage,Prefix,25,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Summon Skeleton,Prefix,4,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Summon Spriggan,Prefix,30,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Summon Storm Crow,Prefix,20,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Summon Storm Totem,Prefix,25,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Summon Thorn Totem,Prefix,4,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Summon Volatile Zombie,Prefix,20,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Summon Wolf,Prefix,4,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Summon Wraith,Prefix,25,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Surge,Prefix,55,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Swarmblade Form,Prefix,43,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Swipe,Prefix,6,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Symbols Of Hope,Prefix,35,86%,+1 | +(5 to 8),+1 | +(9 to 12),+1 | +(13 to 16),+1 | +(17 to 20),+2 | +(21 to 25),+3 | +(30 to 34),+4 | +(35 to 40),+6 | +(64 to 80)
Level of Synchronized Strike,Prefix,30,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Teleport,Prefix,12,86%,+1 | +(5 to 8),+1 | +(9 to 12),+1 | +(13 to 16),+1 | +(17 to 20),+2 | +(21 to 25),+3 | +(30 to 34),+4 | +(35 to 40),+6 | +(64 to 80)
Level of Tempest Strike,Prefix,10,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Tornado,Prefix,25,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Transplant,Prefix,13,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Umbral Blades,Prefix,16,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Upheaval,Prefix,15,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Vengeance,Prefix,4,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Void Cleave,Prefix,19,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Volatile Reversal,Prefix,25,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Volcanic Orb,Prefix,17,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Wandering Spirits,Prefix,4,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Warcry,Prefix,14,86%,+1 | +(10 to 20),+1 | +(21 to 32),+1 | +(33 to 45),+1 | +(46 to 60),+2 | +(61 to 75),+3 | +(90 to 115),+4 | +(116 to 150),+6 | +(240 to 300)
Level of Warpath,Prefix,4,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Werebear Form,Prefix,25,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Lich's Envy Reforged | Spell Fire Damage for Infernal Shade per Active Dread Shade | Increased Area for Infernal Shade per Active Dread Shade,Prefix,0,0%,+(2 to 3) | (4% to 7%),+(4 to 5) | (8% to 11%),+(6 to 7) | (12% to 15%),+(8 to 9) | (16% to 19%),+(10 to 12) | (20% to 24%),+(16 to 19) | (33% to 39%),+(20 to 24) | (40% to 48%),+(38 to 48) | (77% to 96%)
Lich's Scorn Reforged | Dread Shade Damage and Effects Converted to Cold | Cold Damage with Spells and Attacks per Attached Infernal Shade for Minions affected by Dread Shade,Prefix,0,0%,100%+3,100%+4,100%+5,100%+6,100%+7,100% | +(9 to 11),100% | +(12 to 15),100% | +(24 to 30)
Lightning Critical Strike Multiplier,Prefix,60,89%,+(16% to 17%),+(18% to 19%),+(20% to 21%),+(22% to 23%),+(24% to 29%),+(34% to 40%),+(41% to 50%),+(80% to 100%)
Lightning Damage,Prefix,0,50%,+(6% to 12%),+(13% to 21%),+(22% to 30%),+(31% to 39%),+(40% to 60%),+(75% to 95%),+(96% to 120%),+(192% to 240%)
Lightning Damage And Leech,Prefix,18,0%,+(3 to 4) | +(0.3% to 0.4%),+(5 to 6) | +(0.5% to 0.6%),+(7 to 8) | +(0.7% to 0.8%),+(9 to 11) | +(0.9% to 1.1%),+(12 to 15) | +(1.2% to 1.5%),+(19 to 24) | +(1.8% to 2.3%),+(25 to 30) | +(2.4% to 3%),+(41 to 45) | +(4.8% to 6%)
Lightning Damage with Shurikens,Prefix,4,89%,+(6 to 8) | +(50% to 51%),+(9 to 11) | +(52% to 53%),+(12 to 15) | +(54% to 55%),+(16 to 19) | +(56% to 57%),+(20 to 27) | +(58% to 60%),+(32 to 37) | +(61% to 62%),+(38 to 44) | +(63% to 64%),+(60 to 75) | +(90% to 100%)
Lightning Penetration,Prefix,42,70%,+4%,+5%,+6%,+7%,+(8% to 9%),+(11% to 12%),+(13% to 15%),+(24% to 30%)
Lightning Penetration and Minion Lightning Penetration,Suffix,60,85%,+3%+3%,+4%+4%,+(5% to 6%) | +(5% to 6%),+(7% to 8%) | +(7% to 8%),+(9% to 12%) | +(9% to 12%),+(15% to 18%) | +(15% to 18%),+(19% to 22%) | +(19% to 22%),+(35% to 44%) | +(35% to 44%)
Lightning Resistance,Suffix,0,30%,+(5% to 9%),+(10% to 14%),+(15% to 21%),+(22% to 29%),+(30% to 45%),+(50% to 60%),+(61% to 75%),+(120% to 150%)
Locket of the Forgotten Knight Reforged | Chance to apply a Time Rot on Hit | Chance to create a Void Rift when you hit an enemy (2 second cooldown),Prefix,0,0%,+(5% to 6%) | +(5% to 6%),+(7% to 8%) | +(7% to 8%),+(9% to 10%) | +(9% to 10%),+(11% to 12%) | +(11% to 12%),+(13% to 14%) | +(13% to 15%),+(16% to 21%) | +(18% to 23%),+(22% to 28%) | +(24% to 30%),+(45% to 56%) | +(48% to 60%)
Mana,Prefix,0,0%,+(6 to 10),+(11 to 17),+(18 to 25),+(26 to 35),+(36 to 50),+(70 to 90),+(91 to 120),+(190 to 240)
Mana,Prefix,0,0%,+4%,+5%,+6%,+7%,+(8% to 10%),+(12% to 15%),+(16% to 20%),+(32% to 40%)
Mana and Mana Regen,Prefix,36,50%,+(10 to 17) | +(6% to 8%),+(18 to 25) | +(9% to 12%),+(26 to 34) | +(13% to 16%),+(35 to 45) | +(17% to 20%),+(46 to 60) | +(21% to 25%),+(75 to 90) | +(30% to 35%),+(91 to 120) | +(36% to 42%),+(192 to 240) | +(67% to 84%)
Mana and Mana Spent Gained as Ward,Prefix,43,0%,+(10 to 17) | +(10% to 14%),+(18 to 25) | +(15% to 20%),+(26 to 34) | +(21% to 27%),+(35 to 45) | +(28% to 35%),+(46 to 60) | +(36% to 50%),+(75 to 90) | +(65% to 80%),+(91 to 120) | +(81% to 100%),+(192 to 240) | +(160% to 200%)
Mana efficiency with Decoy,Prefix,13,89%,+(7% to 8%),+(9% to 10%),+(11% to 12%),+(13% to 15%),+(16% to 20%),+(24% to 30%),+(31% to 40%),+(64% to 80%)
Mana efficiency with Synchronised Strike,Prefix,30,89%,+(7% to 8%),+(9% to 10%),+(11% to 12%),+(13% to 15%),+(16% to 20%),+(24% to 30%),+(31% to 40%),+(64% to 80%)
Mana Gained on Harvest Use,Prefix,13,89%,(5 to 6),(7 to 8),(9 to 10),(11 to 12),(13 to 15),(19 to 23),(24 to 28),(35 to 42)
Mana Gained when you directly Cast Smite,Prefix,23,89%,+4,+5,+6,+7,+(8 to 10),+(12 to 14),+(15 to 18),+(23 to 27)
Mana Gained when you use Rive and Hit at least one enemy,Prefix,12,89%,3,4,5,6,(7 to 8),(9 to 11),(12 to 15),(19 to 23)
Mana Gained when you use Vengeance and Hit at least one enemy,Prefix,12,89%,3,4,5,6,(7 to 8),(9 to 11),(12 to 15),(19 to 23)
Mana Regeneration,Prefix,0,0%,+(10% to 14%),+(15% to 19%),+(20% to 24%),+(25% to 29%),+(30% to 38%),+(40% to 49%),+(50% to 60%),+(94% to 110%)
Mana Spent Gained as Ward,Prefix,39,89%,+(20% to 23%),+(24% to 27%),+(28% to 31%),+(32% to 35%),+(36% to 50%),+(60% to 75%),+(76% to 100%),+(160% to 200%)
Max Ballista and Increased Ballista Attack Speed,Prefix,18,89%,+1 | (8% to 11%),+1 | (12% to 15%),+1 | (16% to 19%),+1 | (21% to 24%),+1 | (25% to 30%),+2 | (35% to 40%),+2 | (41% to 48%),+3 | (75% to 84%)
Melee Attack Speed,Prefix,0,0%,+(4% to 5%),+(6% to 7%),+(8% to 9%),+(10% to 11%),+(12% to 15%),+(18% to 23%),+(24% to 30%),+(46% to 53%)
Melee Cold Damage,Prefix,0,25%,+(3 to 6),+(7 to 10),+(11 to 15),+(16 to 20),+(21 to 26),+(40 to 50),+(51 to 65),+(85 to 100)
Melee Critical Strike Chance,Prefix,0,20%,+1%,+2%,+3%,+4%,+5%,+(7% to 8%),+(9% to 10%),+(14% to 18%)
Melee Damage,Prefix,0,0%,+(10% to 19%),+(20% to 30%),+(31% to 43%),+(45% to 58%),+(60% to 85%),+(100% to 139%),+(140% to 180%),+(288% to 360%)
Melee Damage Leeched as Health,Prefix,10,0%,+(2.3% to 2.9%),+(3% to 3.6%),+(3.7% to 4.3%),+(4.4% to 5%),+(5.1% to 6.3%),+(7.5% to 9.5%),+(9.6% to 12.5%),+(20% to 25%)
Melee Damage While Transformed,Prefix,28,89%,+(30% to 33%),+(34% to 37%),+(38% to 42%),+(43% to 47%),+(48% to 57%),+(70% to 85%),+(86% to 105%),+(168% to 210%)
Melee Elemental Damage,Prefix,36,89%,+(30% to 33%),+(34% to 37%),+(38% to 43%),+(43% to 48%),+(48% to 57%),+(70% to 85%),+(86% to 110%),+(176% to 220%)
Melee Fire Damage,Prefix,0,25%,+(3 to 6),+(7 to 10),+(11 to 15),+(16 to 20),+(21 to 26),+(40 to 50),+(51 to 65),+(85 to 100)
Melee Lightning Damage,Prefix,0,25%,+(3 to 6),+(7 to 10),+(11 to 15),+(16 to 20),+(21 to 26),+(40 to 50),+(51 to 65),+(85 to 100)
Melee Physical Damage,Prefix,0,0%,+(3 to 6),+(7 to 10),+(11 to 15),+(16 to 20),+(21 to 26),+(40 to 50),+(51 to 65),+(85 to 100)
Melee Physical Damage if wielding a Mace,Prefix,57,89%,+10,+11,+12,+13,+(14 to 17),+(21 to 26),+(27 to 32),+(51 to 64)
Melee Physical Damage if wielding a Sword,Prefix,48,89%,+6,+7,+8,+(9 to 10),+(11 to 13),+(17 to 21),+(22 to 26),+(42 to 52)
Melee Void Damage,Prefix,0,0%,+(3 to 6),+(7 to 10),+(11 to 15),+(16 to 20),+(21 to 26),+(40 to 50),+(51 to 65),+(85 to 100)
Meteor Champion's | Fire Damage Over Time | Bleed Chance Converted to Ignite Chance,Prefix,0,0%,+(15% to 29%) | +100%,+(30% to 50%) | +100%,+(51% to 74%) | +100%,+(75% to 105%) | +100%,+(106% to 150%) | +100%,+(200% to 260%) | +100%,+(261% to 350%) | +100%,+(560% to 700%) | +100%
Minion Area and Damage,Prefix,46,70%,(6% to 7%) | +(5% to 10%),(8% to 9%) | +(11% to 18%),(10% to 12%) | +(20% to 27%),(13% to 15%) | +(28% to 35%),(16% to 18%) | +(36% to 50%),(23% to 27%) | +(65% to 80%),(28% to 33%) | +(81% to 105%),(55% to 65%) | +(175% to 210%)
Minion Chance to Inflict Bleed on Hit,Prefix,36,89%,+(30% to 34%),+(35% to 39%),+(40% to 44%),+(45% to 51%),+(52% to 62%),+(75% to 90%),+(91% to 110%),+(176% to 220%)
Minion Critical Strike Multiplier,Prefix,36,89%,+15%,+(16% to 17%),+(18% to 20%),+(21% to 23%),+(24% to 29%),+(36% to 44%),+(45% to 55%),+(88% to 110%)
Minion Damage,Prefix,0,0%,+(6% to 12%),+(13% to 21%),+(22% to 30%),+(31% to 39%),+(40% to 60%),+(75% to 95%),+(96% to 120%),+(192% to 240%)
Minion Dodge Rating,Prefix,30,70%,+(35 to 65),+(66 to 100),+(101 to 160),+(161 to 250),+(251 to 400),+(500 to 650),+(651 to 1000),+(1600 to 2000)
Minion Freeze Rate Multiplier,Prefix,53,89%,+(50% to 69%),+(70% to 89%),+(90% to 109%),+(110% to 139%),+(140% to 190%),+(240% to 300%),+(301% to 380%),+(608% to 760%)
Minion Health,Prefix,6,40%,+(15% to 35%),+(36% to 55%),+(56% to 75%),+(76% to 100%),+(101% to 150%),+(190% to 230%),+(231% to 300%),+(500% to 600%)
Minion Health Regen,Prefix,13,70%,+(6 to 10),+(11 to 20),+(21 to 35),+(36 to 60),+(61 to 90),+(120 to 150),+(151 to 200),+(320 to 400)
Minion Melee and Bow Damage,Suffix,20,70%,+(3 to 4) | +(3 to 4),+(5 to 6) | +(5 to 6),+(7 to 9) | +(7 to 9),+(10 to 12) | +(10 to 12),+(13 to 17) | +(13 to 17),+(21 to 25) | +(21 to 25),+(26 to 32) | +(26 to 32),+(45 to 56) | +(45 to 56)
