Name,Affix Type,Lvl,Reroll %,Tier1,Tier2,Tier3,Tier4,Tier5,Tier6,Tier7,Tier8
of the Timelost Outcast | Necrotic Damage Taken | Cold Damage Taken,Suffix,0,0%,7%+7%,8%+8%,9%+9%,10%+10%,(11% to 12%) | +(11% to 12%),(17% to 15%) | +(15% to 17%),(20% to 18%) | +(18% to 20%),(29% to 36%) | +(32% to 40%)
Orian's | Spell Fire Damage | Chance to cast Fire Aura on Kill with Fire Skills (1 second cooldown),Prefix,0,0%,+(6 to 7) | +(20% to 22%),+(8 to 10) | +(23% to 25%),+(11 to 15) | +(26% to 29%),+(16 to 20) | +(30% to 33%),+(21 to 26) | +(34% to 38%),+(30 to 35) | +(45% to 49%),+(36 to 45) | +(50% to 60%),+(72 to 90) | +(96% to 120%)
Parry Chance,Prefix,24,50%,+1%,+2%,+3%,+4%,+(5% to 6%),+(8% to 9%),+(10% to 12%),+(16% to 20%)
Pebbles' Bitemarked Sash Reforged | Minion Melee Cold Damage | Cold Resistance,Prefix,0,0%,+1 | +(7% to 9%),+2 | +(10% to 12%),+3 | +(13% to 15%),+4 | +(16% to 18%),+5 | +(19% to 21%),+(6 to 7) | +(28% to 34%),+(8 to 10) | +(35% to 42%),+(16 to 20) | +(67% to 84%)
Pebbles' Collar Reforged | Minion Melee Fire Damage | Fire Resistance,Prefix,0,0%,+1 | +(7% to 9%),+2 | +(10% to 12%),+3 | +(13% to 15%),+4 | +(16% to 18%),+5 | +(19% to 21%),+(6 to 7) | +(28% to 34%),+(8 to 10) | +(35% to 42%),+(16 to 20) | +(67% to 84%)
Pebbles' Femur Reforged | Minion Melee Lightning Damage | Lightning Resistance,Prefix,0,0%,+1 | +(7% to 9%),+2 | +(10% to 12%),+3 | +(13% to 15%),+4 | +(16% to 18%),+5 | +(19% to 21%),+(6 to 7) | +(28% to 34%),+(8 to 10) | +(35% to 42%),+(16 to 20) | +(67% to 84%)
Penetration with Cold Invocations,Prefix,39,89%,+(8% to 10%) | +(36 to 47),+(11% to 13%) | +(48 to 60),+(14% to 17%) | +(61 to 75),+(18% to 21%) | +(76 to 93),+(22% to 27%) | +(94 to 120),+(30% to 35%) | +(130 to 155),+(36% to 42%) | +(156 to 184),+(67% to 84%) | +(294 to 368)
Penetration with Fire Invocations,Prefix,39,89%,+(8% to 10%) | +(25 to 32),+(11% to 13%) | +(33 to 40),+(14% to 17%) | +(41 to 50),+(18% to 21%) | +(51 to 63),+(22% to 27%) | +(64 to 80),+(30% to 35%) | +(100 to 120),+(36% to 42%) | +(121 to 150),+(67% to 84%) | +(240 to 300)
Penetration with Lightning Invocations,Prefix,39,89%,+(8% to 10%) | +(12 to 16),+(11% to 13%) | +(17 to 21),+(14% to 17%) | +(22 to 27),+(18% to 21%) | +(28 to 33),+(22% to 27%) | +(34 to 40),+(30% to 35%) | +(45 to 52),+(36% to 42%) | +(53 to 63),+(67% to 84%) | +(101 to 126)
Physical Damage,Prefix,0,0%,+(6% to 12%),+(13% to 21%),+(22% to 30%),+(31% to 39%),+(40% to 60%),+(75% to 95%),+(96% to 120%),+(192% to 240%)
Physical Damage while Transformed,Prefix,25,89%,+(45% to 51%),+(52% to 58%),+(59% to 65%),+(66% to 72%),+(73% to 90%),+(110% to 130%),+(131% to 160%),+(256% to 320%)
Physical Penetration,Prefix,42,70%,+4%,+5%,+6%,+7%,+(8% to 9%),+(11% to 12%),+(13% to 15%),+(24% to 30%)
Physical Penetration and Minion Physical Penetration,Suffix,60,85%,+3%+3%,+4%+4%,+(5% to 6%) | +(5% to 6%),+(7% to 8%) | +(7% to 8%),+(9% to 12%) | +(9% to 12%),+(15% to 18%) | +(15% to 18%),+(19% to 22%) | +(19% to 22%),+(35% to 44%) | +(35% to 44%)
Physical Penetration with Bleed,Prefix,50,89%,(25% to 27%),(28% to 30%),(31% to 33%),(34% to 36%),(37% to 45%),(55% to 65%),(66% to 85%),(136% to 170%)
Physical Penetration with Puncture,Prefix,5,89%,+6%,+7%,+8%,+(9% to 10%),+(11% to 14%),+(17% to 20%),+(21% to 25%),+(40% to 50%)
Physical Penetration with Shadow Daggers,Prefix,55,89%,(13% to 17%),(18% to 22%),(23% to 27%),(28% to 32%),(33% to 45%),(60% to 77%),(78% to 100%),(160% to 200%)
Physical Resistance,Suffix,0,0%,+(5% to 9%),+(10% to 14%),+(15% to 21%),+(22% to 29%),+(30% to 45%),+(50% to 60%),+(61% to 75%),+(120% to 150%)
Poison Chance per Equipped Dagger,Prefix,27,89%,+(18% to 20%),+(21% to 23%),+(24% to 27%),+(28% to 32%),+(33% to 40%),+(50% to 65%),+(66% to 85%),+(136% to 170%)
Poison Damage,Prefix,11,30%,+(6% to 12%),+(13% to 21%),+(22% to 30%),+(31% to 39%),+(40% to 60%),+(75% to 95%),+(96% to 120%),+(192% to 240%)
Poison Damage And Poison Resistance,Prefix,32,89%,+(25% to 27%) | +(10% to 11%),+(28% to 30%) | +(12% to 14%),+(31% to 33%) | +(15% to 17%),+(34% to 36%) | +(18% to 20%),+(37% to 50%) | +(21% to 25%),+(60% to 75%) | +(28% to 32%),+(76% to 100%) | +(33% to 40%),+(160% to 200%) | +(64% to 80%)
Poison Damage Taken as Physical,Prefix,34,89%,+(18% to 19%),+(20% to 21%),+(22% to 23%),+(24% to 25%),+(26% to 30%),+(36% to 44%),+(45% to 55%),+(88% to 100%)
Poison Penetration,Prefix,42,70%,+4%,+5%,+6%,+7%,+(8% to 9%),+(11% to 12%),+(13% to 15%),+(24% to 30%)
Poison Penetration and Minion Poison Penetration,Suffix,60,88%,+3%+3%,+4%+4%,+(5% to 6%) | +(5% to 6%),+(7% to 8%) | +(7% to 8%),+(9% to 12%) | +(9% to 12%),+(15% to 18%) | +(15% to 18%),+(19% to 22%) | +(19% to 22%),+(35% to 44%) | +(35% to 44%)
Poison Resistance,Suffix,10,0%,+(5% to 9%),+(10% to 14%),+(15% to 21%),+(22% to 29%),+(30% to 45%),+(50% to 60%),+(61% to 75%),+(120% to 150%)
Portal Champion's | Seconds of Haste after you use Evade | Dodge Rating while using Evade,Prefix,0,0%,1.1 | +(75 to 110),(1.2 to 1.3) | +(111 to 165),(1.3 to 1.5) | +(166 to 230),(1.6 to 1.7) | +(231 to 315),(1.8 to 2) | +(316 to 400),(2.3 to 2.5) | +(530 to 674),(2.6 to 3) | +(675 to 850),(4 to 5) | +(1360 to 1700)
Potion Health Converted to Ward,Prefix,35,80%,(10% to 14%),(15% to 19%),(20% to 24%),(25% to 29%),(30% to 35%),(50% to 70%),(71% to 100%),100%
Profane Champion's | Minion Critical Strike Chance | Maximum Skeletons,Prefix,0,0%,+(24% to 29%) | +1,+(30% to 37%) | +1,+(38% to 46%) | +1,+(47% to 55%) | +1,+(56% to 70%) | +1,+(80% to 109%) | +1,+(110% to 140%) | +1,+(224% to 280%) | +2
Recurve Chance with Heartseeker,Prefix,26,89%,+(5% to 6%),+(7% to 8%),+(9% to 11%),+(12% to 15%),+(16% to 20%),+(28% to 33%),+(34% to 40%),+(64% to 80%)
Reduced Bonus Damage Taken from Critical Strikes,Suffix,36,0%,(35% to 43%),(44% to 53%),(54% to 66%),(67% to 80%),(81% to 100%),100%,100%,100%
Reduced Health Cost of Spells,Prefix,13,89%,(12% to 15%),(16% to 19%),(20% to 23%),(24% to 27%),(28% to 33%),(40% to 50%),(51% to 65%),(80% to 95%)
River Champion's | Minion Damage | Maximum Companions,Prefix,0,0%,+(6% to 12%) | +1,+(13% to 21%) | +1,+(22% to 30%) | +1,+(31% to 39%) | +1,+(40% to 60%) | +1,+(75% to 95%) | +1,+(96% to 120%) | +1,+(192% to 240%) | +2
Ruby Fang Aegis Reforged | Chance to Poison on Fire Hit | Fire Resistance,Prefix,0,0%,+(5% to 9%) | +(5% to 9%),+(10% to 15%) | +(10% to 15%),+(16% to 21%) | +(16% to 21%),+(22% to 27%) | +(22% to 27%),+(28% to 35%) | +(28% to 35%),+(45% to 59%) | +(45% to 59%),+(60% to 75%) | +(60% to 75%),+(120% to 150%) | +(120% to 150%)
Ruby Fang Cleaver Reforged | Melee Attack Speed | Chance to Poison on Melee Hit,Suffix,0,0%,+1% | +(5% to 90%),+2% | +(10% to 15%),+3% | +(16% to 21%),+4% | +(22% to 27%),+5% | +(28% to 35%),+(6% to 7%) | +(45% to 59%),+(8% to 10%) | +(60% to 75%),+(15% to 18%) | +(120% to 150%)
Shard of the Shattered Lance Reforged | Health Regen | Melee Cold Damage,Prefix,0,0%,+1 | +(2 to 3),+2 | +(4 to 6),+3 | +(7 to 9),+4 | +(10 to 12),+5 | +(13 to 15),+(6 to 7) | +(20 to 24),+(8 to 10) | +(25 to 30),+(16 to 20) | +(38 to 45)
Shared Bleed Chance On Hit,Prefix,57,89%,+(20% to 23%) | +(20% to 23%),+(24% to 27%) | +(24% to 27%),+(28% to 31%) | +(28% to 31%),+(32% to 35%) | +(32% to 35%),+(36% to 45%) | +(36% to 45%),+(55% to 65%) | +(55% to 65%),+(66% to 85%) | +(66% to 85%),+(136% to 170%) | +(136% to 170%)
Shared Bleed Duration,Prefix,34,89%,(18% to 19%) | (18% to 19%),(20% to 21%) | (20% to 21%),(22% to 23%) | (22% to 23%),(24% to 25%) | (24% to 25%),(26% to 35%) | (26% to 35%),(44% to 55%) | (44% to 55%),(56% to 70%) | (56% to 70%),(112% to 140%) | (112% to 140%)
Shared Cold Damage,Prefix,36,89%,+(25% to 27%) | +(25% to 27%),+(28% to 30%) | +(28% to 30%),+(31% to 33%) | +(31% to 33%),+(34% to 36%) | +(34% to 36%),+(37% to 50%) | +(37% to 50%),+(60% to 75%) | +(60% to 75%),+(76% to 100%) | +(76% to 100%),+(160% to 200%) | +(160% to 200%)
Shared Increased Bleed Duration,Prefix,57,89%,(16% to 17%) | (16% to 17%),(18% to 19%) | (18% to 19%),(20% to 21%) | (20% to 21%),(22% to 23%) | (22% to 23%),(24% to 28%) | (24% to 28%),(34% to 40%) | (34% to 40%),(41% to 50%) | (41% to 50%),(80% to 100%) | (80% to 100%)
Shared Increased Fire Damage,Prefix,36,89%,+(30% to 33%) | +(30% to 33%),+(34% to 37%) | +(34% to 37%),+(38% to 41%) | +(38% to 41%),+(42% to 46%) | +(42% to 46%),+(47% to 60%) | +(47% to 60%),+(70% to 85%) | +(70% to 85%),+(86% to 110%) | +(86% to 110%),+(176% to 220%) | +(176% to 220%)
Shared Increased Melee Damage,Prefix,48,89%,+(25% to 27%) | +(25% to 27%),+(28% to 30%) | +(28% to 30%),+(31% to 33%) | +(31% to 33%),+(34% to 36%) | +(34% to 36%),+(37% to 50%) | +(37% to 50%),+(60% to 75%) | +(60% to 75%),+(76% to 100%) | +(76% to 100%),+(160% to 200%) | +(160% to 200%)
Shared Increased Necrotic Damage,Prefix,36,89%,+(25% to 27%) | +(25% to 27%),+(28% to 30%) | +(28% to 30%),+(31% to 33%) | +(31% to 33%),+(34% to 36%) | +(34% to 36%),+(37% to 50%) | +(37% to 50%),+(60% to 75%) | +(60% to 75%),+(76% to 100%) | +(76% to 100%),+(160% to 200%) | +(160% to 200%)
Shared Increased Spell Damage,Prefix,27,89%,+(25% to 27%) | +(25% to 27%),+(28% to 30%) | +(28% to 30%),+(31% to 33%) | +(31% to 33%),+(34% to 36%) | +(34% to 36%),+(37% to 50%) | +(37% to 50%),+(60% to 75%) | +(60% to 75%),+(76% to 100%) | +(76% to 100%),+(160% to 200%) | +(160% to 200%)
Shared Lightning Damage,Prefix,48,89%,+(25% to 27%) | +(25% to 27%),+(28% to 30%) | +(28% to 30%),+(31% to 33%) | +(31% to 33%),+(34% to 36%) | +(34% to 36%),+(37% to 50%) | +(37% to 50%),+(60% to 75%) | +(60% to 75%),+(76% to 100%) | +(76% to 100%),+(160% to 200%) | +(160% to 200%)
Shared Physical Damage Leeched As Health,Prefix,60,89%,+(0.6% to 0.7%) | +(0.6% to 0.7%),+(0.8% to 0.9%) | +(0.8% to 0.9%),+(1% to 1.1%) | +(1% to 1.1%),+(1.2% to 1.3%) | +(1.2% to 1.3%),+(1.4% to 1.8%) | +(1.4% to 1.8%),+(2.2% to 2.8%) | +(2.2% to 2.8%),+(2.9% to 3.6%) | +(2.9% to 3.6%),+(5.8% to 7.2%) | +(5.8% to 7.2%)
Shared Physical Penetration With Bleed,Prefix,57,89%,(12% to 13%) | (12% to 13%),(14% to 15%) | (14% to 15%),(16% to 17%) | (16% to 17%),(18% to 19%) | (18% to 19%),(20% to 23%) | (20% to 23%),(28% to 34%) | (28% to 34%),(35% to 42%) | (35% to 42%),(67% to 84%) | (67% to 84%)
Sinathia's Dying Breath Reforged | Curse Damage,Prefix,0,0%,+(9 to 15) | +(29% to 39%),+(16 to 23) | +(40% to 51%),+(23 to 32) | +(52% to 65%),+(33 to 42) | +(66% to 80%),+(43 to 53) | +(81% to 106%),+(75 to 89) | +(141% to 169%),+(90 to 107) | +(170% to 213%),+(171 to 214) | +(341% to 426%)
Sinathia's Resurrection Reforged | Minion Health | chance when one of your Skeletons dies to resummon a new one after 3 seconds,Prefix,0,0%,+(19% to 29%) | (5% to 6%),+(30% to 40%) | (7% to 8%),+(41% to 52%) | (9% to 11%),+(53% to 65%) | (12% to 15%),+(66% to 79%) | (16% to 20%),+(133% to 146%) | (29% to 36%),+(147% to 167%) | (37% to 47%),+(254% to 301%) | (75% to 94%)
Solar Deserter's | Movement Speed | Fire Damage Taken on Block,Prefix,0,0%,+3% | (13% to 14%),+4% | (15% to 16%),+5% | (17% to 18%),+6% | (19% to 20%),+7% | (21% to 23%),+(9% to 10%) | (26% to 29%),+(11% to 12%) | (30% to 35%),+(17% to 19%) | (56% to 70%)
Spark Champion's | Spell Damage | Chance for Lightning Blast to Chain 4 Additional Times,Prefix,0,0%,+(5% to 10%) | (7% to 9%),+(11% to 17%) | (10% to 13%),+(18% to 27%) | (14% to 17%),+(28% to 39%) | (18% to 21%),+(40% to 55%) | (22% to 25%),+(70% to 89%) | (27% to 30%),+(90% to 110%) | (31% to 35%),+(176% to 220%) | (56% to 70%)
Spell Critical Strike Chance,Prefix,15,60%,+(20% to 25%),+(26% to 34%),+(35% to 43%),+(44% to 54%),+(55% to 75%),+(95% to 115%),+(116% to 150%),+(240% to 300%)
Spell Damage,Prefix,15,0%,+(3 to 5),+(6 to 8),+(9 to 11),+(12 to 14),+(15 to 24),+(32 to 40),+(41 to 50),+(70 to 80)
Spell Damage,Prefix,0,0%,+(6% to 12%),+(13% to 21%),+(22% to 30%),+(31% to 39%),+(40% to 60%),+(75% to 95%),+(96% to 120%),+(192% to 240%)
Spell Damage and Reduced Mana Cost,Prefix,0,0%,+(5% to 10%) | -3,+(11% to 20%) | -3,+(21% to 30%) | -3,+(31% to 40%) | -3,+(41% to 50%) | -3,+(60% to 75%) | -4,+(76% to 100%) | -5,+(200% to 225%) | -7
Spell Damage for Curses,Prefix,26,89%,+(2 to 5),+(6 to 9),+(10 to 14),+(15 to 18),+(19 to 24),+(25 to 36),+(37 to 48),+(77 to 96)
Spell Damage for Storm Crows,Prefix,36,89%,+(4 to 5),+(6 to 7),+(8 to 9),+(10 to 11),+(12 to 14),+(17 to 20),+(21 to 25),+(40 to 50)
Spell Damage for Totems,Prefix,53,89%,+6,+7,+8,+(9 to 10),+(11 to 14),+(18 to 22),+(23 to 28),+(45 to 56)
Spell Damage Leeched as Health while Channelling,Prefix,46,89%,+(2% to 2.6%),+(2.7% to 3.3%),+(3.4% to 4%),+(4.1% to 4.7%),+(4.8% to 5.7%),+(7% to 8.5%),+(8.6% to 10.5%),+(16.8% to 21%)
Spell Damage while Channelling,Prefix,43,89%,+6,+7,+8,+(9 to 10),+(11 to 13),+(17 to 21),+(22 to 26),+(42 to 52)
Spell Damage While Transformed,Prefix,39,89%,+(30% to 33%),+(34% to 37%),+(38% to 42%),+(43% to 47%),+(48% to 57%),+(70% to 85%),+(86% to 105%),+(168% to 210%)
Spell Damage with Tempest Strike,Prefix,26,89%,+(20 to 23),+(24 to 28),+(29 to 34),+(35 to 40),+(41 to 50),+(65 to 80),+(81 to 100),+(160 to 200)
Spell Physical Critical Strike Chance,Prefix,41,89%,+(45% to 51%),+(52% to 58%),+(59% to 65%),+(66% to 72%),+(73% to 95%),+(115% to 140%),+(141% to 180%),+(288% to 360%)
Storm Champion's | Chance to Electrify on Hit | Chance to cast Smite on hit with throwing attacks (up to 10 times per 2 seconds),Prefix,0,0%,+(15% to 19%) | +(11% to 13%),+(20% to 24%) | +(14% to 16%),+(25% to 29%) | +(17% to 20%),+(30% to 35%) | +(21% to 25%),+(36% to 45%) | +(26% to 33%),+(60% to 75%) | +(40% to 46%),+(76% to 100%) | +(47% to 54%),+(160% to 200%) | +(86% to 100%)
Strength,Prefix,0,0%,+1,+2,+(3 to 4),+(5 to 6),+(7 to 8),+(11 to 13),+(14 to 16),+(24 to 28)
Stun Avoidance,Suffix,13,30%,+(45 to 75),+(76 to 135),+(136 to 210),+(211 to 300),+(301 to 400),+(550 to 700),+(701 to 900),+(1440 to 1800)
Sunforged Cuirass Reforged | Chance to forge a weapon when hit | Increased Fire Damage per Forged Weapon,Prefix,0,0%,+(1% to 2%) | (2% to 3%),+(3% to 4%) | (4% to 5%),+(5% to 6%) | (6% to 7%),+(7% to 8%) | (8% to 9%),+(9% to 10%) | (10% to 12%),+(12% to 15%) | (15% to 19%),+(16% to 20%) | (20% to 25%),+(32% to 40%) | (30% to 40%)
Sunforged Greathelm Reforged | Increased Armor per Forged Weapon | Health Regen per Forged Weapon,Prefix,0,0%,2%+1,3%+1,4%+2,5%+2,6%+3,(8% to 9%) | +5,(10% to 12%) | +6,(19% to 24%) | +9
Sunforged Hammer Reforged | Ignite Chance per Forged Weapon | Melee Fire Damage per Forged Weapon,Prefix,0,36%,+(5% to 7%) | +2,+(8% to 10%) | +3,+(11% to 13%) | +4,+(14% to 16%) | +5,+(17% to 20%) | +6,+(25% to 31%) | +(8 to 9),+(32% to 40%) | +(10 to 12),+(50% to 60%) | +(14 to 18)
The Invoker's Frozen Heart Reforged | Cold Cast Speed | Critical Strike Multiplier against Frozen Enemies,Prefix,0,0%,+0 | +(10% to 12%),+0 | +(13% to 16%),+0 | +(17% to 20%),+0 | +(21% to 24%),+0 | +(25% to 30%),+(0 to 0) | +(40% to 49%),+(0 to 0) | +(50% to 60%),+(0 to 0) | +(96% to 120%)
The Invoker's Scorching Grasp Reforged | Fire Damage Over Time | Chance to Ignite on Hit,Prefix,0,0%,+(10% to 13%) | +(6% to 7%),+(14% to 17%) | +(8% to 100%),+(18% to 22%) | +(11% to 14%),+(23% to 28%) | +(15% to 19%),+(29% to 35%) | +(20% to 25%),+(40% to 49%) | +(30% to 39%),+(50% to 75%) | +(40% to 50%),+(120% to 150%) | +(80% to 100%)
The Invoker's Static Touch Reforged | Spell Lightning Damage | Chance to Shock on Spell Hit,Prefix,0,0%,+3 | +(10% to 13%),+4 | +(14% to 17%),+5 | +(18% to 22%),+6 | +(23% to 28%),+7 | +(29% to 35%),+(9 to 11) | +(40% to 49%),+(12 to 15) | +(50% to 75%),+(20 to 25) | +(120% to 150%)
The Last Bear's Fury Reforged | Increased Health Regen per point of Strength | Melee Physical Damage,Suffix,0,0%,1% | +(10% to 13%),1% | +(14% to 17%),1% | +(18% to 22%),1% | +(23% to 28%),1% | +(29% to 35%),2% | +(40% to 55%),3% | +(56% to 75%),5% | +(120% to 150%)
The Last Bear's Lament Reforged | Health Regen | Endurance Threshold,Suffix,0,0%,+(1 to 2) | +(10 to 20),+(3 to 4) | +(21 to 32),+(5 to 6) | +(33 to 45),+(7 to 8) | +(46 to 59),+(9 to 10) | +(60 to 75),+(12 to 15) | +(90 to 119),+(16 to 20) | +(120 to 150),+(32 to 40) | +(240 to 300)
The Last Bear's Scorn Reforged | Endurance | Physical Damage Leeched as Health on Hit,Prefix,0,0%,+(6% to 7%) | +(0.1% to 0.1%),+(8% to 9%) | +(0.1% to 0.1%),+(10% to 11%) | +(0.1% to 0.1%),+(12% to 13%) | +(0.1% to 0.1%),+(14% to 15%) | +(0.1% to 0.2%),+(20% to 24%) | +(0.2% to 0.2%),+(25% to 30%) | +(0.3% to 0.3%),+(48% to 60%) | +(0.5% to 0.6%)
Throwing Attack Critical Strike Chance,Prefix,48,89%,+(45% to 51%),+(52% to 58%),+(59% to 65%),+(66% to 72%),+(73% to 95%),+(115% to 140%),+(141% to 180%),+(288% to 360%)
Throwing Attack Speed,Prefix,17,40%,+(5% to 7%),+(8% to 10%),+(11% to 14%),+(15% to 18%),+(19% to 23%),+(26% to 30%),+(31% to 36%),+(55% to 63%)
Throwing Damage,Prefix,0,20%,+(2 to 4),+(5 to 7),+(8 to 10),+(11 to 14),+(15 to 20),+(25 to 30),+(31 to 37),+(50 to 65)
Throwing Damage and Reduced Mana Cost,Prefix,6,15%,+(3 to 4) | -3,+(5 to 6) | -3,+(7 to 8) | -3,+(9 to 10) | -3,+(11 to 13) | -3,+(17 to 21) | -4,+(22 to 26) | -5,+(35 to 40) | -7
Throwing Physical Damage,Prefix,41,89%,+(26% to 30%),+(31% to 35%),+(36% to 40%),+(41% to 47%),+(48% to 60%),+(75% to 95%),+(96% to 120%),+(192% to 240%)
Totem Critical Strike Chance,Prefix,57,89%,+(45% to 51%),+(52% to 58%),+(59% to 65%),+(66% to 72%),+(73% to 95%),+(115% to 140%),+(141% to 180%),+(288% to 360%)
Totem Damage,Prefix,30,89%,+(30% to 33%),+(34% to 37%),+(38% to 42%),+(43% to 47%),+(48% to 57%),+(70% to 85%),+(86% to 105%),+(168% to 210%)
Ucenui's | Cold Penetration | Lightning Penetration,Prefix,0,0%,+7%+7%,+8%+8%,+9%+9%,+10%+10%,+(11% to 12%) | +(11% to 12%),+(15% to 17%) | +(15% to 17%),+(18% to 20%) | +(18% to 20%),+(32% to 40%) | +(32% to 40%)
Venomous Champion's | Chance to Poison on Hit | Enemies Pierced with Multishot,Prefix,0,0%,+(10% to 11%) | +1,+(12% to 14%) | +1,+(15% to 17%) | +1,+(18% to 21%) | +1,+(22% to 27%) | +1,+(35% to 44%) | +2,+(45% to 55%) | +3,+(88% to 110%) | +5
Vilatria's Downfall Reforged | Meteor Base Damage Converted to Lightning | increased Shock Duration per Intelligence,Prefix,0,0%,+100%0%,+100%0%,+100%0%,+100%0%,+100%1%,+100% | (1% to 1%),+100% | (1% to 1%),+100% | (2% to 2%)
Vilatria's Storm Crown Reforged | Shock Chance per Intelligence | Lightning Penetration,Prefix,0,0%,+0% | +(1% to 2%),+0% | +(3% to 4%),+0% | +(5% to 6%),+0% | +(7% to 8%),+1% | +(9% to 10%),+(1% to 1%) | +(14% to 16%),+(1% to 1%) | +(17% to 20%),+(1% to 2%) | +(32% to 40%)
Vitality,Prefix,0,0%,+1,+2,+(3 to 4),+(5 to 6),+(7 to 8),+(11 to 13),+(14 to 16),+(24 to 28)
Void Damage,Prefix,15,40%,+(6% to 12%),+(13% to 21%),+(22% to 30%),+(31% to 39%),+(40% to 60%),+(75% to 95%),+(96% to 120%),+(192% to 240%)
