Name,Affix Type,Lvl,Reroll %,Tier1,Tier2,Tier3,Tier4,Tier5,Tier6,Tier7,Tier8
Level of Black Hole,Prefix,50,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Bone Curse,Prefix,8,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Chaos Bolts,Prefix,50,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Chthonic Fissure,Prefix,23,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Cinder Strike,Prefix,10,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Dancing Strikes,Prefix,25,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Dark Quiver,Prefix,35,86%,+1 | +(5 to 8),+1 | +(9 to 12),+1 | +(13 to 16),+1 | +(17 to 20),+2 | +(21 to 25),+3 | +(26 to 32),+4 | +(33 to 40),+6 | +(64 to 80)
Level of Death Seal,Prefix,50,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Decoy,Prefix,12,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Detonating Arrow,Prefix,25,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Devouring Orb,Prefix,35,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Disintegrate,Prefix,35,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Dive Bomb,Prefix,20,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Drain Life,Prefix,25,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Dread Shade,Prefix,50,86%,+1 | +(8 to 12),+1 | +(13 to 18),+1 | +(19 to 24),+1 | +(25 to 30),+2 | +(31 to 38),+3 | +(45 to 51),+4 | +(52 to 60),+6 | +(96 to 120)
Level of Earthquake,Prefix,30,86%,+1 | (3% to 5%),+1 | (6% to 8%),+1 | (9% to 12%),+1 | (13% to 16%),+2 | (17% to 22%),+3 | (25% to 30%),+4 | (31% to 40%),+6 | (64% to 80%)
Level of Elemental Nova,Prefix,4,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Enchant Weapon,Prefix,30,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Entangling Roots,Prefix,25,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Erasing Strike,Prefix,25,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Eterra's Blessing,Prefix,7,86%,+1 | +(8 to 12),+1 | +(13 to 18),+1 | +(19 to 24),+1 | +(25 to 30),+2 | +(31 to 38),+3 | +(45 to 51),+4 | +(52 to 60),+6 | +(96 to 120)
Level of Explosive Trap,Prefix,50,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Falconry,Prefix,20,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Fireball,Prefix,7,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Firebrand,Prefix,50,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Flame Reave,Prefix,25,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Flame Rush,Prefix,23,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Flame Ward,Prefix,9,86%,+1 | +(5% to 10%),+1 | +(11% to 16%),+1 | +(17% to 23%),+1 | +(24% to 31%),+2 | +(32% to 40%),+3 | +(50% to 60%),+4 | +(61% to 75%),+6 | +(110% to 130%)
Level of Flay,Prefix,50,86%,+1 | (6% to 7%),+1 | (8% to 9%),+1 | (10% to 12%),+1 | (13% to 15%),+2 | (16% to 20%),+3 | (25% to 29%),+4 | (30% to 34%),+6 | (54% to 68%)
Level of Flurry,Prefix,4,86%,+1 | +(5 to 12),+1 | +(13 to 19),+1 | +(20 to 27),+1 | +(28 to 37),+2 | +(38 to 50),+3 | +(60 to 70),+4 | +(71 to 85),+6 | +(136 to 170)
Level of Focus,Prefix,22,86%,+1 | +(5 to 8),+1 | +(9 to 12),+1 | +(13 to 16),+1 | +(17 to 20),+2 | +(21 to 25),+3 | +(30 to 34),+4 | +(35 to 40),+6 | +(64 to 80)
Level of Forge Strike,Prefix,25,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Frost Claw,Prefix,49,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Frostwall,Prefix,35,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Fury Leap,Prefix,4,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Gathering Storm,Prefix,4,86%,+1 | (6% to 7%),+1 | (8% to 9%),+1 | (10% to 12%),+1 | (13% to 15%),+2 | (16% to 20%),+3 | (25% to 29%),+4 | (30% to 34%),+6 | (54% to 68%)
Level of Ghostflame,Prefix,50,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Glacier,Prefix,7,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Glyph of Dominion,Prefix,49,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Hail of Arrows,Prefix,50,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Hammer Throw,Prefix,4,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Harvest,Prefix,6,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Healing Hands,Prefix,23,86%,+1 | (10% to 15%),+1 | (16% to 21%),+1 | (22% to 28%),+1 | (29% to 38%),+2 | (39% to 60%),+3 | (80% to 95%),+4 | (96% to 120%),+6 | (170% to 200%)
Level of Heartseeker,Prefix,50,86%,+1 | +(3% to 4%),+1 | +(5% to 6%),+1 | +(7% to 8%),+1 | +(9% to 10%),+2 | +(11% to 12%),+3 | +(15% to 19%),+4 | +(20% to 25%),+6 | +(38% to 44%)
Level of Holy Aura,Prefix,25,86%,+1 | +(5 to 8),+1 | +(9 to 12),+1 | +(13 to 16),+1 | +(17 to 20),+2 | +(21 to 25),+3 | +(30 to 34),+4 | +(35 to 40),+6 | +(64 to 80)
Level of Hungering Souls,Prefix,7,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Ice Barrage,Prefix,25,86%,+1 | +(15% to 25%),+1 | +(26% to 40%),+1 | +(41% to 65%),+1 | +(66% to 100%),+2 | +(101% to 140%),+3 | +(150% to 200%),+4 | +(201% to 260%),+6 | +(416% to 520%)
Level of Infernal Shade,Prefix,22,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Javelin,Prefix,17,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Judgement,Prefix,50,86%,+1 | (5% to 8%),+1 | (9% to 13%),+1 | (14% to 19%),+1 | (20% to 26%),+2 | (27% to 35%),+3 | (50% to 59%),+4 | (60% to 70%),+6 | (110% to 140%)
Level of Lethal Mirage,Prefix,50,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Lightning Blast,Prefix,4,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Lunge,Prefix,4,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Maelstrom,Prefix,17,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Mana Strike,Prefix,6,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Manifest Armor,Prefix,35,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Marrow Shards,Prefix,4,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Meteor,Prefix,25,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Multishot,Prefix,25,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Multistrike,Prefix,17,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Net,Prefix,25,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Profane Veil,Prefix,25,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Puncture,Prefix,5,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Reaper Form,Prefix,25,86%,+1 | +(5 to 12),+1 | +(13 to 19),+1 | +(20 to 27),+1 | +(28 to 37),+2 | +(38 to 50),+3 | +(60 to 70),+4 | +(71 to 85),+6 | +(129 to 153)
Level of Rebuke,Prefix,7,86%,+1 | +(3% to 5%),+1 | +(6% to 10%),+1 | +(11% to 15%),+1 | +(16% to 20%),+2 | +(21% to 28%),+3 | +(30% to 34%),+4 | +(35% to 40%),+6 | +(64% to 80%)
Level of Ring Of Shields,Prefix,25,86%,+1 | +(10% to 20%),+1 | +(21% to 40%),+1 | +(41% to 60%),+1 | +(61% to 80%),+2 | +(81% to 120%),+3 | +(142% to 160%),+4 | +(161% to 200%),+6 | +(350% to 400%)
Level of Rip Blood,Prefix,4,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Rive,Prefix,6,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
