Affix Type,Lvl,Name,Reroll %,Tier1,Tier2,Tier3,Tier4,Tier5,Tier6,Tier7,Tier8,Source File
Prefix,53,Increased Void Damage And Added Spell Void Damage,89%,+(30% to 33%) | +4,+(34% to 37%) | +4,+(38% to 41%) | +5,+(42% to 46%) | +5,+(47% to 60%) | +(6 to 7),+(70% to 85%) | +(9 to 11),+(86% to 110%) | +(12 to 14),+(176% to 220%) | +(22 to 28),affix_details_3
Prefix,0,Infernal Champion's | Minion Damage | Minions teleported around you after you use a Traversal Skill,0%,+(5% to 10%) | 2,+(11% to 16%) | 3,+(22% to 27%) | 3,+(28% to 39%) | 4,+(40% to 55%) | 5,+(70% to 89%) | 7,+(90% to 110%) | 8,+(176% to 220%) | (13 to 16),affix_details_3
Prefix,0,Intelligence,0%,+1,+2,+(3 to 4),+(5 to 6),+(7 to 8),+(11 to 13),+(14 to 16),+(24 to 28),affix_details_3
Suffix,0,Isadora's Gravechill Reforged | Health | Spell Cold Damage,0%,+(4 to 9) | +1,+(10 to 16) | +2,+(17 to 24) | +3,+(25 to 32) | +4,+(33 to 40) | +5,+(60 to 69) | +(6 to 7),+(70 to 82) | +(8 to 10),+(125 to 148) | +(12 to 15),affix_details_3
Suffix,0,Isadora's Revenge Reforged | Necrotic Penetration | Stun Avoidance,0%,+2% | +(50 to 65),+3% | +(66 to 82),+4% | +(83 to 100),+5% | +(101 to 119),+6% | +(120 to 150),+(8% to 9%) | +(200 to 239),+(10% to 12%) | +(240 to 300),+(19% to 24%) | +(480 to 600),affix_details_3
Suffix,0,Isadora's Tomb Binding Reforged | Armor | Increased Necrotic Damage if you have been Hit Recently,0%,+(6% to 7%) | (11% to 14%),+(8% to 9%) | (15% to 19%),+(10% to 11%) | (20% to 25%),+(12% to 13%) | (26% to 32%),+(14% to 15%) | (33% to 40%),+(18% to 24%) | (50% to 63%),+(25% to 35%) | (64% to 80%),+(56% to 70%) | (128% to 160%),affix_details_3
Prefix,0,Julra's | Spell Void Damage | Chance to cast Void Rift on Kill,0%,+2 | (4% to 5%),+3 | (6% to 7%),+4 | (8% to 10%),+5 | (11% to 13%),+6 | (14% to 16%),+8 | (18% to 20%),+(9 to 10) | (21% to 25%),+(16 to 20) | (40% to 50%),affix_details_3
Prefix,0,Last Gift of the Mountain Reforged | Increased cold spell damage if you have directly cast a physical spell recently | Chance to Shred Armor on Spell Hit,0%,(15% to 16%) | +(20% to 23%),(17% to 19%) | +(24% to 28%),(20% to 23%) | +(29% to 34%),(24% to 28%) | +(35% to 41%),(29% to 35%) | +(42% to 50%),(50% to 59%) | +(70% to 84%),(60% to 70%) | +(85% to 100%),(112% to 140%) | +(160% to 200%),affix_details_3
Prefix,30,Level of Abyssal Echoes,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_3
Prefix,4,Level of Acid Flask,86%,+1 | +(3% to 4%),+1 | +(5% to 6%),+1 | +(7% to 9%),+1 | +(10% to 12%),+2 | +(13% to 16%),+3 | +(20% to 24%),+4 | +(25% to 30%),+6 | +(46% to 53%),affix_details_3
Prefix,25,Level of Aerial Assault,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,50,Level of Anomaly,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,40,Level of Arcane Ascendance,86%,+1 | +(8 to 12),+1 | +(13 to 18),+1 | +(19 to 24),+1 | +(25 to 30),+2 | +(31 to 38),+3 | +(45 to 51),+4 | +(52 to 60),+6 | +(96 to 120),affix_details_3
Prefix,60,Level of Assemble Abomination,86%,+1 | +(10% to 20%),+1 | +(21% to 40%),+1 | +(41% to 60%),+1 | +(61% to 80%),+2 | +(81% to 120%),+3 | +(142% to 160%),+4 | +(161% to 200%),+6 | +(350% to 400%),affix_details_3
Prefix,30,Level of Aura Of Decay,86%,+1 | +(3% to 6%),+1 | +(7% to 11%),+1 | +(12% to 17%),+1 | +(18% to 23%),+2 | +(24% to 30%),+3 | +(40% to 50%),+4 | +(51% to 60%),+6 | +(96% to 120%),affix_details_3
Prefix,40,Level of Avalanche,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,17,Level of Ballista,86%,+1 | (3% to 5%),+1 | (6% to 8%),+1 | (9% to 12%),+1 | (13% to 16%),+2 | (17% to 20%),+3 | (21% to 24%),+4 | (25% to 30%),+6 | (40% to 48%),affix_details_3
Prefix,50,Level of Black Hole,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,8,Level of Bone Curse,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,50,Level of Chaos Bolts,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,23,Level of Chthonic Fissure,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_3
Prefix,10,Level of Cinder Strike,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,25,Level of Dancing Strikes,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,35,Level of Dark Quiver,86%,+1 | +(5 to 8),+1 | +(9 to 12),+1 | +(13 to 16),+1 | +(17 to 20),+2 | +(21 to 25),+3 | +(26 to 32),+4 | +(33 to 40),+6 | +(64 to 80),affix_details_3
Prefix,50,Level of Death Seal,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,12,Level of Decoy,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,25,Level of Detonating Arrow,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_3
Prefix,35,Level of Devouring Orb,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,35,Level of Disintegrate,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,20,Level of Dive Bomb,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_3
Prefix,25,Level of Drain Life,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_3
Prefix,50,Level of Dread Shade,86%,+1 | +(8 to 12),+1 | +(13 to 18),+1 | +(19 to 24),+1 | +(25 to 30),+2 | +(31 to 38),+3 | +(45 to 51),+4 | +(52 to 60),+6 | +(96 to 120),affix_details_3
Prefix,30,Level of Earthquake,86%,+1 | (3% to 5%),+1 | (6% to 8%),+1 | (9% to 12%),+1 | (13% to 16%),+2 | (17% to 22%),+3 | (25% to 30%),+4 | (31% to 40%),+6 | (64% to 80%),affix_details_3
Prefix,4,Level of Elemental Nova,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,30,Level of Enchant Weapon,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,25,Level of Entangling Roots,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,25,Level of Erasing Strike,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_3
Prefix,7,Level of Eterra's Blessing,86%,+1 | +(8 to 12),+1 | +(13 to 18),+1 | +(19 to 24),+1 | +(25 to 30),+2 | +(31 to 38),+3 | +(45 to 51),+4 | +(52 to 60),+6 | +(96 to 120),affix_details_3
Prefix,50,Level of Explosive Trap,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_3
Prefix,20,Level of Falconry,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,7,Level of Fireball,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_3
Prefix,50,Level of Firebrand,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_3
Prefix,25,Level of Flame Reave,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_3
Prefix,23,Level of Flame Rush,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_3
Prefix,9,Level of Flame Ward,86%,+1 | +(5% to 10%),+1 | +(11% to 16%),+1 | +(17% to 23%),+1 | +(24% to 31%),+2 | +(32% to 40%),+3 | +(50% to 60%),+4 | +(61% to 75%),+6 | +(110% to 130%),affix_details_3
Prefix,50,Level of Flay,86%,+1 | (6% to 7%),+1 | (8% to 9%),+1 | (10% to 12%),+1 | (13% to 15%),+2 | (16% to 20%),+3 | (25% to 29%),+4 | (30% to 34%),+6 | (54% to 68%),affix_details_3
Prefix,4,Level of Flurry,86%,+1 | +(5 to 12),+1 | +(13 to 19),+1 | +(20 to 27),+1 | +(28 to 37),+2 | +(38 to 50),+3 | +(60 to 70),+4 | +(71 to 85),+6 | +(136 to 170),affix_details_3
Prefix,22,Level of Focus,86%,+1 | +(5 to 8),+1 | +(9 to 12),+1 | +(13 to 16),+1 | +(17 to 20),+2 | +(21 to 25),+3 | +(30 to 34),+4 | +(35 to 40),+6 | +(64 to 80),affix_details_3
Prefix,25,Level of Forge Strike,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_3
Prefix,49,Level of Frost Claw,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,35,Level of Frostwall,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,4,Level of Fury Leap,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,4,Level of Gathering Storm,86%,+1 | (6% to 7%),+1 | (8% to 9%),+1 | (10% to 12%),+1 | (13% to 15%),+2 | (16% to 20%),+3 | (25% to 29%),+4 | (30% to 34%),+6 | (54% to 68%),affix_details_3
Prefix,50,Level of Ghostflame,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,7,Level of Glacier,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_3
Prefix,49,Level of Glyph of Dominion,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,50,Level of Hail of Arrows,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_3
Prefix,4,Level of Hammer Throw,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,6,Level of Harvest,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,23,Level of Healing Hands,86%,+1 | (10% to 15%),+1 | (16% to 21%),+1 | (22% to 28%),+1 | (29% to 38%),+2 | (39% to 60%),+3 | (80% to 95%),+4 | (96% to 120%),+6 | (170% to 200%),affix_details_3
Prefix,50,Level of Heartseeker,86%,+1 | +(3% to 4%),+1 | +(5% to 6%),+1 | +(7% to 8%),+1 | +(9% to 10%),+2 | +(11% to 12%),+3 | +(15% to 19%),+4 | +(20% to 25%),+6 | +(38% to 44%),affix_details_3
Prefix,25,Level of Holy Aura,86%,+1 | +(5 to 8),+1 | +(9 to 12),+1 | +(13 to 16),+1 | +(17 to 20),+2 | +(21 to 25),+3 | +(30 to 34),+4 | +(35 to 40),+6 | +(64 to 80),affix_details_3
Prefix,7,Level of Hungering Souls,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,25,Level of Ice Barrage,86%,+1 | +(15% to 25%),+1 | +(26% to 40%),+1 | +(41% to 65%),+1 | +(66% to 100%),+2 | +(101% to 140%),+3 | +(150% to 200%),+4 | +(201% to 260%),+6 | +(416% to 520%),affix_details_3
Prefix,22,Level of Infernal Shade,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,17,Level of Javelin,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,50,Level of Judgement,86%,+1 | (5% to 8%),+1 | (9% to 13%),+1 | (14% to 19%),+1 | (20% to 26%),+2 | (27% to 35%),+3 | (50% to 59%),+4 | (60% to 70%),+6 | (110% to 140%),affix_details_3
Prefix,50,Level of Lethal Mirage,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,4,Level of Lightning Blast,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,4,Level of Lunge,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_3
Prefix,17,Level of Maelstrom,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_3
Prefix,6,Level of Mana Strike,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_3
Prefix,35,Level of Manifest Armor,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,4,Level of Marrow Shards,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,25,Level of Meteor,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_3
Prefix,25,Level of Multishot,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,17,Level of Multistrike,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_3
Prefix,25,Level of Net,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,25,Level of Profane Veil,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,5,Level of Puncture,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,25,Level of Reaper Form,86%,+1 | +(5 to 12),+1 | +(13 to 19),+1 | +(20 to 27),+1 | +(28 to 37),+2 | +(38 to 50),+3 | +(60 to 70),+4 | +(71 to 85),+6 | +(129 to 153),affix_details_3
Prefix,7,Level of Rebuke,86%,+1 | +(3% to 5%),+1 | +(6% to 10%),+1 | +(11% to 15%),+1 | +(16% to 20%),+2 | +(21% to 28%),+3 | +(30% to 34%),+4 | +(35% to 40%),+6 | +(64% to 80%),affix_details_3
Prefix,25,Level of Ring Of Shields,86%,+1 | +(10% to 20%),+1 | +(21% to 40%),+1 | +(41% to 60%),+1 | +(61% to 80%),+2 | +(81% to 120%),+3 | +(142% to 160%),+4 | +(161% to 200%),+6 | +(350% to 400%),affix_details_3
Prefix,4,Level of Rip Blood,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%),affix_details_3
Prefix,6,Level of Rive,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%),affix_details_3
Suffix,18,Minion Melee and Spell Damage,55%,+(3 to 4) | +(3 to 4),+(5 to 6) | +(5 to 6),+(7 to 9) | +(7 to 9),+(10 to 12) | +(10 to 12),+(13 to 17) | +(13 to 17),+(21 to 25) | +(21 to 25),+(26 to 32) | +(26 to 32),+(45 to 56) | +(45 to 56),affix_details_5
Prefix,29,Minion Melee Damage Leeched As Health,89%,+(4% to 4.9%),+(5% to 5.9%),+(6% to 6.9%),+(7% to 7.9%),+(8% to 11%),+(13.5% to 16%),+(16.1% to 21%),+(33.6% to 42%),affix_details_5
Suffix,22,Minion Spell and Bow Damage,70%,+(3 to 4) | +(3 to 4),+(5 to 6) | +(5 to 6),+(7 to 9) | +(7 to 9),+(10 to 12) | +(10 to 12),+(13 to 17) | +(13 to 17),+(21 to 25) | +(21 to 25),+(26 to 32) | +(26 to 32),+(45 to 56) | +(45 to 56),affix_details_5
Prefix,41,Minion Spell Critical Strike Chance,89%,+(30% to 33%),+(34% to 37%),+(38% to 42%),+(43% to 47%),+(48% to 57%),+(70% to 85%),+(86% to 105%),+(168% to 210%),affix_details_5
Prefix,0,Mirage Champion's | Dodge Rating | Maximum Shadows,0%,+(25 to 35) | +1,+(36 to 52) | +1,+(53 to 70) | +1,+(71 to 90) | +1,+(91 to 115) | +1,+(135 to 160) | +1,+(161 to 200) | +1,+(320 to 400) | +2,affix_details_5
Prefix,50,Mirages and Mana Efficiency with Lethal Mirage,89%,+1 | +(10% to 13%),+1 | +(14% to 17%),+1 | +(18% to 21%),+1 | +(22% to 25%),+1 | +(26% to 30%),+2 | +(38% to 46%),+2 | +(47% to 60%),+3 | +(96% to 120%),affix_details_5
Prefix,0,Movement Speed,0%,+(5% to 7%),+(8% to 9%),+(10% to 11%),+(12% to 14%),+(15% to 18%),+(22% to 25%),+(26% to 30%),+(43% to 48%),affix_details_5
