Name,Affix Type,Reroll %,Tier1,Tier2,Tier3,Tier4,Tier5,Tier6,Tier7
Bow Critical Strike Chance,Suffix,0%,+(24% to 65%),,,,,-,-
Bow Damage,Suffix,0%,+(17% to 45%),,,,,-,-
Bow Elemental Damage,Prefix,0%,+(20% to 50%),,,,,-,-
Bow Physical Damage for Ballistae,Prefix,0%,+(4 to 10),,,,,-,-
Cast Speed for Totems,Prefix,0%,+(11% to 30%),,,,,-,-
Chance for +30 Throwing Fire Damage with Shield Throw,Prefix,0%,+(15% to 40%),,,,,-,-
Chance For Additional Multistrike Swords,Prefix,0%,(15% to 50%),,,,,-,-
Chance for Hungering Souls to fire 6 Additional Projectiles,Prefix,0%,+(8% to 25%),,,,,-,-
Chance for Summon Wraith to summon a Flame Wraith instead,Prefix,0%,+(25% to 60%),,,,,-,-
Chance for Summon Wraith to summon a Putrid Wraith instead,Prefix,0%,+(25% to 60%),,,,,-,-
Chance On 10 Or More Mana Spent To Cast Lightning At A Nearby Enemy,Prefix,0%,(18% to 50%),,,,,-,-
Chance on hit to summon a Thorn Totem (up to 3 times per 5 seconds),Prefix,0%,(8% to 20%),,,,,-,-
Chance On Kill To Refresh Random Companion Ability,Prefix,0%,+(3% to 8%),,,,,-,-
Chance on Melee Kill to heal a Random Minion to Full Health,Prefix,0%,(6% to 15%),,,,,-,-
Chance to apply a Spark Charge on Melee Hit,Suffix,0%,+(8% to 25%),,,,,-,-
Chance to apply a Time Rot on Hit,Suffix,0%,+(11% to 30%),,,,,-,-
Chance to apply Critical Vulnerability on hit with Caltrops,Prefix,0%,+(32% to 75%),,,,,-,-
Chance to apply Damned on Hit,Prefix,0%,+(13% to 36%),,,,,-,-
Chance to apply Electrify on hit with Lightning Skills and Lightning Pen with Electrify,Suffix,0%,+(1% to 2%) | 1%,+(3% to 4%) | 1%,+(5% to 6%) | 1%,+(7% to 8%) | 1%,+(9% to 10%) | 1%,+(12% to 15%) | 2%,+(16% to 20%) | 3%
Chance to apply Frostbite on Hit with Cold Skills,Prefix,0%,+(25% to 60%),,,,,-,-
Chance To Apply Frostbite With Cold Skills,Prefix,0%,+(25% to 60%),,,,,-,-
Chance To Blind With Spells,Prefix,0%,+(13% to 35%),,,,,-,-
Chance To Cast An Avalanche Boulder At a Nearby Enemy On Melee Attack (up to 3 times per second),Prefix,0%,+(10% to 28%),,,,,-,-
Chance To Cast An Avalanche Boulder At a Nearby Enemy On Spell Cast (up to 3 times per second),Prefix,0%,+(8% to 22%),,,,,-,-
Chance To Cast Divine Bolt When You Use A 0 Cost Skill,Prefix,0%,+(4% to 13%),,,,,-,-
Chance to cast Elemental Nova when Hit,Prefix,0%,+(4% to 10%),,,,,-,-
Chance to Cast Fire Aura on Critical Strike (1 Second Cooldown),Prefix,0%,+(6% to 15%),,,,,-,-
Chance to Cast Fire Aura on Kill with Fire Skills (1 Second Cooldown),Prefix,0%,+(7% to 20%),,,,,-,-
Chance to Cast Fire Aura when Hit (1 Second Cooldown),Suffix,0%,+(2% to 5%),,,,,-,-
Chance to cast Healing Nova when hit,Prefix,0%,+(3% to 8%),,,,,-,-
Chance to cast Lightning Blast When Hit while you have Lightning Aegis,Prefix,50%,+(9% to 20%),,,,,-,-
Chance to cast Maelstrom every 3 seconds,Prefix,0%,+(9% to 30%),,,,,-,-
Chance to Cast Marrow Shards when you Cast Transplant,Prefix,0%,(7% to 17%),,,,,-,-
Chance to cast Poison Nova when Hit,Prefix,0%,+(4% to 10%),,,,,-,-
Chance To Cast Smite When You Hit With Throwing Attacks (up to 10 times per 2 seconds),Prefix,0%,+(10% to 25%),,,,,-,-
Chance to cast Void Rift on Kill,Prefix,0%,(4% to 10%),,,,,-,-
Chance To Chill Nearby Enemies when you use a skill that costs at least 20 Mana,Prefix,0%,+(10% to 30%),,,,,-,-
Chance To Chill With Necrotic Skills,Prefix,0%,+(16% to 42%),,,,,-,-
Chance to create a Void Essence on Kill,Prefix,0%,+(4% to 10%),,,,,-,-
Chance To Create An Aftershock Under A Nearby Enemy On Melee Attack,Prefix,0%,+(20% to 40%),,,,,-,-
chance to deal Double Damage with Falcon Strikes,Prefix,0%,+(5% to 12%),,,,,-,-
Chance to Fear on Hit,Suffix,0%,+(6% to 20%),,,,,-,-
Chance to Gain 20 Ward on Kill with Hungering Souls,Prefix,0%,+(25% to 60%),,,,,-,-
Chance to Gain 20 Ward on Melee Hit,Suffix,0%,(10% to 22%),,,,,-,-
Chance to Gain 30 Ward when Hit,Prefix,0%,(15% to 40%),,,,,-,-
Chance to Gain 30 Ward When Hit and Ward Decay Threshold,Prefix,0%,(16% to 30%) | +(10 to 17),,,,,-,-
Chance to gain Haste for 3 seconds when you Summon a Totem,Prefix,0%,(17% to 50%),,,,,-,-
Chance To Gain Inspiration On Kills With Void Skills,Prefix,0%,+(12% to 35%),,,,,-,-
Chance to Gain Lightning Aegis when Hit,Suffix,0%,+(4% to 10%),,,,,-,-
Chance to Ignite on Bow Hit,Prefix,0%,+(15% to 35%),,,,,-,-
Chance to Ignite on Fire Hit,Prefix,0%,+(16% to 42%),,,,,-,-
Chance to Ignite on Hit,Prefix,0%,+(13% to 30%),,,,,-,-
Chance to Ignite on Hit and Fire Penetration with Ignite,Prefix,0%,+(15% to 20%) | (1% to 2%),,,,,-,-
Chance To Ignite While At High Health,Suffix,0%,+(15% to 40%),,,,,-,-
Chance to Inflict Bleed On Bow Hit,Suffix,0%,+(15% to 35%),,,,,-,-
Chance to Inflict Bleed On Cold Hit,Prefix,0%,+(20% to 60%),,,,,-,-
Chance to Inflict Bleed On Hit,Prefix,0%,+(13% to 36%),,,,,-,-
Chance to Inflict Bleed on Hit and Physical Penetration with Bleed,Prefix,0%,+(15% to 20%) | (1% to 2%),,,,,-,-
Chance to Inflict Bleed on Hit with Shurikens,Prefix,0%,+(15% to 40%),,,,,-,-
Chance to Inflict Bleed on Melee Hit for You and Your Minions,Suffix,0%,+(15% to 40%) | +(15% to 40%),,,,,-,-
Chance To Inflict Bleed On Physical Spell Hit,Suffix,0%,+(22% to 60%),,,,,-,-
Chance to Inflict Bleed while at High Health,Suffix,0%,+(15% to 40%),,,,,-,-
Chance to inflict Time Rot on hit with Void Skills and Increased Void Damage,Suffix,0%,+1% | +(1% to 2%),+2% | +(3% to 4%),+3% | +(5% to 6%),+4% | +(7% to 8%),+5% | +(9% to 10%),+(6% to 7%) | +(12% to 15%),+(8% to 10%) | +(16% to 20%)
Chance to not consume Potion on use and Ward gained on potion use,Suffix,65%,+1% | (2 to 4),+2% | (5 to 7),+3% | (8 to 10),+4% | (11 to 15),+5% | (16 to 22),+(6% to 7%) | (25 to 35),+(8% to 10%) | (36 to 50)
Chance to not Consume Silver Shrouds when hit and Ward granted per silver shroud,Suffix,0%,1% | +(10 to 12),2% | +(13 to 15),3% | +(16 to 18),4% | +(19 to 21),5% | +(22 to 25),(6% to 7%) | +(34 to 40),(8% to 10%) | +(41 to 50)
Chance to Poison on Hit,Prefix,0%,+(11% to 30%),,,,,-,-
Chance to Poison on Hit and Poison Penetration with Poison,Prefix,0%,+(15% to 20%) | (1% to 2%),,,,,-,-
Chance to Shock on Hit,Prefix,0%,+(19% to 50%),,,,,-,-
Chance to Shock on Hit and Increased Shock Duration,Prefix,0%,+(20% to 30%) | (10% to 20%),,,,,-,-
Chance To Shock With Lightning Skills,Prefix,0%,+(30% to 80%),,,,,-,-
Chance to Shred Armor on Bow Hit,Prefix,0%,+(30% to 80%),,,,,-,-
Chance To Shred Armor on Hit,Suffix,0%,+(22% to 60%),,,,,-,-
Chance To Shred Armor on Hit With Fire Skills,Suffix,0%,+(30% to 80%),,,,,-,-
Chance To Shred Armor on Hit with Throwing Attacks,Suffix,0%,+(30% to 80%),,,,,-,-
Chance to Shred Armor on Melee Hit,Prefix,0%,+(30% to 80%),,,,,-,-
Chance To Shred Armor on Melee Hit,Suffix,0%,+(30% to 80%),,,,,-,-
Chance to Shred Armor on Throwing Hit,Prefix,0%,+(30% to 80%),,,,,-,-
Chance to Slow on Bow Hit,Suffix,0%,+(10% to 21%),,,,,-,-
Chance To Slow With Void Skills,Suffix,0%,+(25% to 60%),,,,,-,-
